c,c,b,c,c,b,c,c,c,c,c,g,g,g,c,g,c,c,b,b,b,b,g,g,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,f,b,e,h,g,c,e,h,g,e,e,e
3211,3336.2,3493.3,3659.5,3811,3973.3,4157.2,4368,4542.8,4743.5,4868.4,5388.3,5552.8,5747.8,5944.1,6121.8,6302.8,6441.3,6605.8,6776.5,6915,7070.2,7293,7440.1,7610.3,7808.2,7960.5,8102.5,8252.2,8393.9,8544.7,8696,8853.9,8939.3,9041.9,9165.9,9258.6,9383.4,9512.5,9643.2,9757.9,9830.2,9994.3,10127,10265,10411,10564,10647,10750,10881,10975,11102,11154,11319,11448,11586,11761,12063,12190,12332,12603,12759,12921,13076
3239.3,3359.9,3527.7,3701,3860.7,4035.6,4206,4416.2,4569.7,4787.4,4941.2,5428,5597.9,5790.4,5972.6,6165.4,6339,6483.2,6650,6815.6,6959.4,7123.3,7335.9,7490.7,7663,7863,8018.7,8162.5,8312.9,8454,8617.5,8776.5,8915,9006.1,9106.7,9213.5,9346.6,9472.9,9571.8,9694.7,9817.6,9895.2,10057,10207,10341,10490,10623,10715,10817,10937,11065,11144,11190,11367,11513,11624,11802,12086,12256,12368,12648,12823,12985,13140
