c,c,g,c,c,g,g,g,c,h,g,e,e,e,e,g,b,b,b,b,b,b,g,b,b,b,b,e,e,e,e,e,j,j,j,i,l,k,d,f,f,i,d,k,l,b,e,h,h,h,e,h,g,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,b,b,b,b,b,b,g
2396.4,2555.7,2832.8,3002.9,3170,3819.4,3953.2,4136.2,4300.1,4702.9,4830,4980.8,5130.9,5282.7,5453.7,6157.7,6328.8,6468.9,6601.3,6750.8,6891.4,7036,7215.5,7342.1,7487.8,7637.1,7768.4,7913.7,8059.3,8201.8,8337.9,8481.5,8621,8764.7,8903.2,9058.8,9144.1,9243.8,9358.6,9469.4,9592.3,9718.1,9851.5,9963.9,10035,10238,10350,10489,10635,10791,10928,11066,11213,11358,11484,11626,11757,11903,12058,12142,12241,12369,12458,12582,12710,12843,12956,13028,13231,13350,13483,13709,13855,13982,14129,14269,14419,14573,14747
2424.5,2586.4,2872.9,3042.7,3205,3854.8,4001.1,4181.1,4337.7,4735.3,4878.9,5039.7,5188.1,5337.3,5512.8,6197.6,6365.5,6525.7,6664.4,6817.9,6960.9,7106.5,7245.2,7391.2,7555.2,7702.1,7841,7979.8,8122.4,8266.2,8395.4,8540.1,8700.9,8846.8,8987.9,9119.7,9214.8,9316,9430.6,9561.4,9683.2,9780.4,9904,10028,10106,10280,10414,10526,10667,10821,10994,11104,11249,11407,11548,11690,11840,11985,12116,12213,12315,12421,12551,12675,12772,12898,13022,13100,13276,13411,13520,13750,13906,14047,14200,14343,14486,14620,14792
