c,c,c,g,c,c,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,g,e,h,g,g,b,e,j,j,j
0.03125,145,300.09,1998.9,2133,2301.9,2458.2,2594.2,2740.2,2907.4,3051,3187.5,3327.3,3485.2,3629.1,3812.3,3981.3,4141.7,4297.6,4431.4,4564.4,4708.2,4841.4,4995.2,5081.5,5182,5307.4,5397.5,5520.1,5644.7,5780.2,5894.5,5965.8,6126.8,6256.5,6399.2,6554.7,6637.4,6740.8,6885,6973,7098.2,7221.9,7357.3,7474.2,7544.8,7700,7825.3,7981.2,8117.1,8272.5,8412.9,8544.9,8682.1,8823.4,8948.1,9092.8,9233.5,9376.5
20.875,181.06,343.16,2055.5,2176.9,2345.1,2511.4,2643.8,2806.6,2976.5,3117.9,3251.3,3396.1,3557.8,3697.8,3874.2,4038.1,4200,4359.3,4491.2,4623.8,4766.8,4921.6,5051.5,5154.5,5252,5358.6,5489,5609.9,5706,5834.6,5952.2,6032.8,6185.6,6333.7,6478.4,6614.2,6706.8,6811.7,6932.5,7065.6,7195.1,7285.9,7411.6,7533.8,7616.3,7763.4,7863.9,8015.9,8165.2,8327.1,8447,8571.5,8717.2,8870.2,9007.5,9174.3,9325.7,9453.4
