c,c,c,c,c,c,c,b,b,b,g,g,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,c,e,h,b,e,e,e,j,j,j,j,i,g,g,b,b,b,b,b,b,b,b,b,b,g,g,g,c,e,e,g,b,e,j,j,e
2182,2357.2,2508.9,2649.1,2814.2,2969.6,3138,3278.8,3442.2,3601.9,4368.3,4543.3,4677.4,4821.8,4974,5136,5296.5,5452.8,5601,5737.4,5881.4,6033.4,6196.5,6282.8,6382.8,6512.6,6601.3,6726.2,6855.6,6989.4,7101.9,7173,7328.8,7463.6,7612,7760.7,7913.1,8000.4,8101.5,8229.2,8321.6,8515.1,8636.6,8779.5,8916.3,9054.8,9190.6,9343.6,9493.7,9648.2,9734.7,9834.7,9965.3,10059,10181,10309,10442,10557,10629,10780,10910,11035,11104,11279,11402,11530,11690,11819,11966,12107,12245,12392,12548,12704,12881,12984,13187,13374,13513,13646,13789,13932,14087,14228,14382,14532,14668,14833,15012,15190,15326,15457,15615,15764,15926,16068,16211,16363,16536
2207.4,2393.5,2550.1,2691.5,2856.2,3007.9,3197.2,3351.4,3512.5,3670.9,4409.4,4584.2,4730.5,4885.1,5036.1,5198.2,5357.7,5516.8,5662.1,5813.9,5964.4,6114.7,6257.5,6350.3,6452.2,6563.3,6694.9,6822.4,6917.9,7043.9,7161.6,7243.8,7392.7,7543.2,7692.9,7844.5,7975.1,8069.4,8169.3,8276.3,8373,8556.4,8701.3,8839.1,8979.9,9120.4,9275.2,9423.7,9575.3,9709.2,9803.4,9906.2,10017,10152,10275,10372,10500,10618,10699,10840,10966,11084,11153,11320,11462,11569,11740,11882,12030,12177,12326,12475,12631,12788,12941,13011,13225,13419,13584,13717,13855,14008,14159,14305,14451,14597,14739,14868,15060,15236,15358,15523,15680,15805,15969,16133,16291,16446,16577
