c,c,c,c,c,b,b,b,e,e,e,e,e,e,e,e,g,b,b,b,b,b,c,e,g,d,h,c,b,e,j,j,i,l,l,d,f,f,i,d,k,l,g,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,e,e,j,j,j,j,j,i,l,l,d,f,c,g,h,g
2344.8,2500.1,2708.4,2875.4,3037.3,3205.4,3349.6,3542.6,3705.2,3863.8,4027.6,4173.7,4329.6,4481.5,4635.6,4783,4940.9,5108.4,5214.4,5350.9,5491.2,5642.7,5806.4,5936.8,6082.8,6213.2,6380.2,6529.1,6649.5,6803.8,6950.8,7095.6,7245.2,7336.1,7433.7,7560.7,7652.2,7776.3,7904.7,8036.2,8154.9,8228.6,8427.8,8585.5,8745.2,8872.6,9021.8,9157.5,9297.6,9446.5,9603.5,9692.1,9788.6,9919.8,10012,10137,10264,10399,10517,10591,10752,10884,11002,11075,11236,11367,11494,11617,11765,11905,12051,12184,12344,12489,12641,12797,12949,13038,13136,13267,13360,13558,13695,13873,14038
2377.1,2540.3,2745.8,2919.4,3061,3253,3398.3,3586.7,3764.8,3924.9,4087.6,4239.9,4391.4,4553.2,4698.4,4847.8,4989.7,5131.4,5269.9,5413.2,5563.8,5705,5851.6,6004,6121.6,6266.6,6417.1,6554.2,6713.2,6872.4,7032.1,7171.5,7304.7,7398.7,7500.3,7611.3,7745,7873.1,7969,8093.8,8216.5,8291.7,8469.2,8621,8789.2,8935.2,9086.9,9227.1,9374,9525.1,9659.7,9754.7,9858.5,9972.2,10106,10231,10330,10461,10577,10656,10813,10941,11063,11145,11298,11406,11527,11681,11831,11967,12115,12263,12425,12570,12723,12878,13009,13103,13208,13322,13402,13592,13749,13902,14074
