b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,l,l,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,c,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e
2741.2,2901.3,3033.7,3205.8,3363.2,3523.9,3682.1,3835.3,3971.9,4113,4261.2,4409.6,4494.7,4593.8,4716.6,4806.2,4928.8,5054,5190,5298.6,5371.1,5527.5,5666.7,5805.3,5948.2,6095,6179.8,6278.6,6402.6,6493.1,6617.4,6743.6,6878.4,7004.5,7070.1,7318.3,7476.5,7586.7,7722.4,7857.8,8001.9,8143.6,8293.7,8380.2,8475.1,8598.8,8688.8,8810.7,8936.3,9069.8,9183.8,9256.9,9406.2,9531.9,9641.9,9754.6,9828.6,9982.2,10117,10260,10380,10521,10668,10800,10951,11100,11185,11282,11406,11498,11624,11754,11885,11999,12071,12259,12375
2766.5,2922.2,3093.1,3267.2,3423.3,3583.6,3740.2,3894.8,4046.3,4186.5,4337.5,4464.4,4556.5,4655.9,4766.7,4894.5,5017.6,5111.6,5247.7,5356.9,5433.7,5589.9,5741.5,5887.8,6028.2,6155,6244.1,6342.8,6460.4,6585.5,6712.8,6803.3,6937.5,7054.6,7131,7356.7,7512.4,7651.1,7786.8,7927.1,8080.1,8223.1,8350.2,8444.7,8539.7,8654.5,8777.4,8902.7,8996.9,9127.1,9242.9,9320,9469.1,9573,9700.2,9814.8,9894.9,10045,10157,10301,10445,10588,10733,10880,11031,11157,11252,11347,11461,11590,11719,11812,11945,12059,12140,12298,12436
