c,c,c,c,b,b,b,c,g,c,c,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,b,e,e,e,j,j,j,i,l,g,g,b,e,h,b,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l
1364,1522.8,1647,1816.4,1993.6,2119.3,2311.5,2455.5,2633.1,2800.8,2957.3,3108.7,3262.8,3442.8,3583.9,3760.1,3899.1,4077.9,4259.7,4381.9,4535.7,4703.6,4848.3,4995.5,5151.5,5284.1,5428.9,5574.6,5720.8,5880.6,6039.4,6196.2,6281.9,6384.9,6513.2,6606.6,6728.6,6860.3,6995.6,7109.9,7182.8,7341.8,7468.2,7588.4,7661.2,7822,7957.4,8078.2,8201.8,8348.8,8487.1,8622,8768.8,8929.5,9090.5,9190.4,9355.1,9503.4,9672,9796.8,9936.1,10053,10184,10324,10465,10614,10763,10909,11053,11210,11295,11399,11523,11615,11742,11870,12013,12130,12203
1391.4,1556.7,1673.4,1852.1,2019.3,2166,2357.2,2492.8,2674.5,2839.2,3002.7,3178.1,3332.4,3483.9,3637.7,3787.9,3958.3,4123.7,4299.5,4447.2,4608.2,4762.7,4907.6,5061.8,5213,5341.8,5494.6,5645.6,5801.7,5961.9,6118.2,6253.6,6348.3,6449.8,6562.8,6694.8,6823.5,6930.7,7048.8,7170,7247.2,7405.6,7524.4,7645.8,7724.8,7882.4,7995.8,8118.2,8262.3,8410.9,8554.8,8696.8,8844.2,9006.3,9140,9240.3,9395.3,9548.9,9709.3,9862.5,9975.3,10097,10248,10394,10540,10693,10840,10988,11135,11268,11363,11464,11582,11710,11832,11926,12067,12190,12267
