g,c,c,c,c,g,c,c,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,b,e,e,e,e,e,i,h,c,g,b,g,g,b,e,e,h,h,g,g,g
2832.6,3004.1,3150.9,3289.9,3454.5,4105,4295.2,4451.9,4613.1,4751.6,4899.3,5049.1,5220.2,5399.9,5583.5,5754,5922.4,6081.7,6230.2,6384.9,6537.2,6695.1,6840.7,6991,7076.8,7179.9,7320.7,7415.5,7539,7676.1,7812.2,7930.8,8002.9,8205.8,8338.9,8501.1,8651.1,8793.7,8935.2,9081.7,9231.6,9319.2,9416.7,9545.7,9638.2,9767,9899,10030,10146,10219,10436,10543,10674,10790,10923,11065,11206,11341,11481,11618,11783,11920,12085,12234,12380,12531,12692,12823,12987,13140,13322,13454,13604,13751
2867.8,3041,3195.1,3340.4,3499.2,4147.7,4339.4,4506.2,4681.1,4819,4967.9,5119.3,5293.2,5469.4,5653.8,5814.7,5986.9,6142.9,6292.6,6444.9,6608.2,6770.6,6922.4,7049.2,7145.1,7250.4,7372.4,7504.5,7630.3,7736.9,7872.9,7996.6,8070.9,8246.5,8385.1,8555.8,8716.5,8860.4,9014.3,9158.6,9290.1,9387.5,9484.8,9598.7,9729.7,9860.2,9964.1,10090,10206,10283,10469,10607,10714,10829,10985,11128,11269,11406,11547,11684,11825,11961,12129,12278,12422,12575,12737,12880,13052,13188,13347,13490,13649,13803
