g,c,c,c,b,c,c,g,g,g,e,e,e,e,g,b,b,b,b,b,b,b,b,b,e,e,d,h,g,g,g,e,j,g,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,h,b,b,e,e,e,e,e,j,i,i,l,l,d,f,f,i,d,k,l,e,h,h,g,g,b,e,b,b,b,b,b,b,b,b,b,b,e,e,e,h
1985.6,3085.6,3212.4,3378.6,3542.4,3700.3,3855.3,4520.3,4695.7,4886.4,5033,5205.6,5365,5517,5695.8,5874.2,6017,6152.2,6292.6,6431.1,6574.2,6706,6843.5,6999.3,7165,7304.1,7450.3,7589.3,7740.5,7901.5,8061.3,8202.3,8339,8496.4,8773.8,8911,9049.4,9196.2,9340.7,9491.4,9574.7,9673.3,9801.4,9894.5,10017,10146,10277,10395,10468,10622,10761,10930,11046,11178,11306,11423,11566,11709,11845,11979,12119,12250,12374,12553,12637,12736,12861,12953,13074,13200,13342,13462,13532,13691,13837,13991,14141,14294,14464,14599,14761,14877,15019,15152,15292,15436,15578,15715,15868,16016,16173,16316,16466,16632
2005.6,3124.8,3261.2,3441.8,3605.2,3759.4,3923.5,4559.8,4735.8,4933,5088.8,5266.8,5421.1,5574.5,5747.4,5941.3,6081.3,6223.4,6367.3,6498.1,6643,6776.2,6917.6,7070.3,7227.8,7366.7,7504.6,7627.3,7781.8,7945.4,8109.8,8261.3,8413,8540.2,8835.2,8989.3,9128.6,9277.3,9424.3,9551.1,9644.7,9744.2,9851.6,9985.8,10112,10207,10336,10457,10532,10681,10804,10963,11110,11218,11353,11492,11631,11792,11908,12050,12185,12328,12482,12613,12708,12806,12916,13044,13167,13266,13388,13508,13584,13754,13876,14017,14184,14344,14501,14660,14820,14945,15086,15228,15361,15511,15648,15799,15942,16091,16235,16378,16526,16667
