c,c,c,c,c,g,c,c,c,b,c,b,b,b,c,e,e,e,e,e,e,e,e,g,b,b,b,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l
2163,2309.4,2473.5,2634.7,2780.5,2959.9,3140.5,3324.4,3460.4,3594.3,3772.2,3971.2,4117,4267.7,4456.2,4592.7,4777.8,4934.1,5094.3,5246.8,5382.8,5538.7,5685.1,5845.8,5990.3,6120.2,6255.6,6392.4,6540.2,6690.8,6844.3,6997.9,7145.7,7305,7461.2,7602.5,7750.8,7903.4,7987.7,8086.6,8216.4,8307.5,8432.3,8558.2,8689.5,8804.9,8877.1,9029.4,9164.9,9292.2,9361.3
2189.1,2347.1,2511.1,2672.1,2822.5,3001.3,3185.8,3369.7,3513.1,3663.2,3845.9,4035,4184.5,4337.8,4491.9,4649.2,4834.4,4991.8,5150.9,5306,5446.6,5598.5,5744.8,5884.5,6042.2,6186.7,6323.6,6461.6,6608.6,6758.8,6916.6,7071,7216.4,7377.2,7525.5,7678.5,7824.4,7960.3,8056.4,8153,8263.2,8399,8527.2,8617.7,8742.9,8868.5,8942.1,9092.1,9223.3,9344.5,9426.3
