c,c,c,c,c,c,b,b,c,b,g,g,e,e,e,e,e,e,c,b,b,b,b,b,b,c,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,d,k,l,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2454.5,2604.9,2749.4,2917.5,3086.6,3248.3,3393.3,3550.7,3705,3861.1,4698.6,4841.8,5006.7,5158.3,5293,5448.5,5604.9,5758,5921.4,6054.4,6193.6,6346.1,6500.8,6647.1,6793.4,6948.4,7096.5,7247.8,7401.5,7552,7695.3,7837.3,7986.9,8141.1,8225.8,8332.1,8465,8554.5,8682,8817.1,8955.9,9076.9,9147.6,9297.4,9440,9544.6,9661.6,9732.2,9885.7,10020,10138,10207,10367,10528,10677,10819,10963,11115,11201,11303,11436,11528,11654,11786,11926,12042,12116
2487.9,2644,2797.6,2957.2,3141.1,3306.9,3461.7,3613.2,3774.5,3939.3,4739.2,4896.5,5086.5,5215.8,5352.8,5522.2,5665.9,5819.8,5971.5,6128.3,6263,6418.8,6577.6,6718.2,6864.1,7005.7,7157,7309.3,7464.3,7616,7773.1,7918.4,8068.5,8202.4,8297.6,8402.8,8515.5,8646.3,8779.7,8875.8,9012.4,9116.8,9197.8,9357.3,9483.1,9600.5,9724.7,9803.3,9945.6,10076,10202,10278,10428,10590,10736,10899,11046,11176,11270,11376,11491,11621,11751,11846,11982,12107,12185
