g,c,c,c,c,b,c,c,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,h,g,g,b,e,h,b,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,g,g,b,e,h,b,b,b,b,b,b,b,e,e,e,j,j,j,j,j,j,i,l,l,d,f,f,h,g,g,b,b,e,e,e,e,e,d,k,l,e,g,c,b,b,b,b,b,e,h,c
1995.4,2138.1,2282.5,2412.5,2531.6,2677.7,2818.4,3007.2,3140.5,3331.4,3482.5,3633.5,3786.3,3921,4081.4,4239.3,4401.6,4553.1,4691.5,4829,4965.8,5103.1,5241.5,5371,5513.7,5656.3,5806.4,5963.7,6048,6147.2,6271.4,6363.8,6484.8,6609.6,6744.3,6857.7,6929.1,7082.1,7211.1,7355.9,7504,7591.1,7691.5,7825.7,7916.1,8038.1,8161.2,8290.8,8407.2,8478.3,8631.8,8755,8892.7,9039.8,9197.1,9353.7,9476.5,9612,9731.3,9864.5,10008,10146,10301,10385,10489,10616,10707,10837,10968,11101,11216,11286,11463,11584,11714,11834,11953,12026,12197,12357,12495,12615,12756,12888,13016,13139,13275,13414,13566,13720,13876,14011,14153,14286,14432,14577,14719,14869,15024,15176,15261,15360,15488,15580,15709,16021,16179,16343,16502,16648,16799,16943,17077,17217,17375,17502,17618,17689,17844,17974,18150,18273,18396,18529,18687,18846,19008,19159,19347
2023,2173.6,2322.3,2455.9,2590.9,2740.2,2877.1,3054.3,3212.3,3387.9,3550.8,3700.2,3852.2,3994.2,4157.6,4313.7,4469.1,4616,4752.1,4892.2,5028.7,5166.9,5304.2,5436.2,5574.3,5734.2,5884.2,6023.1,6113.4,6216.9,6319.8,6454.1,6577.7,6672.2,6796.6,6917,6994.7,7139.5,7291.3,7434.9,7565.2,7658.6,7761.6,7873.8,8004.7,8127.3,8221.7,8351.1,8470.2,8546,8694.4,8794.2,8926,9085,9240.6,9398,9541.5,9651.8,9777.7,9927.8,10071,10225,10359,10453,10565,10673,10803,10931,11026,11155,11275,11352,11499,11647,11754,11891,12013,12093,12238,12396,12540,12681,12796,12932,13076,13206,13345,13489,13639,13794,13935,14076,14219,14363,14509,14657,14799,14950,15100,15236,15328,15429,15539,15673,15800,16054,16213,16383,16550,16711,16863,17005,17141,17280,17439,17556,17679,17758,17905,18028,18207,18338,18465,18600,18758,18912,19074,19195,19384
