c,c,c,c,b,c,c,g,g,b,b,b,b,e,e,e,e,e,g,g,c,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j
4429.6,4593.8,4866.1,5023.5,5357.8,5521.2,5683.9,6358.7,6521.8,7437.9,7580.1,7757.2,7917.3,8063.9,8246.3,8395.8,8549.2,8704.9,8892.9,9090.6,9252.5,9385.4,9526.2,9682.6,9857.8,10003,10126,10286,10438,10589,10746,10885,11032,11175,11325,11417,11513,11642,11735,11859,11990,12123,12239,12312,12466,12593,12738,12899
4457.8,4616.4,4897.6,5043.9,5382.3,5556.3,5724.9,6399,6562.8,7501,7640.6,7820.1,7954.9,8122.1,8304.1,8454.8,8606.1,8768.2,8942.9,9130,9297.9,9449.4,9588.5,9738.2,9901.3,10047,10196,10354,10503,10653,10809,10964,11112,11259,11384,11482,11584,11694,11825,11956,12052,12178,12306,12376,12528,12674,12821,12977
