c,c,c,b,c,b,b,g,g,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,g,g,g
3222.9,3352.1,3486.6,3655,3844,3979.7,4154.4,5446.8,5595.1,5738.7,5909.5,6063.9,6204.9,6350.3,6514.6,6662.8,6819.2,6984.5,7068.2,7168.6,7301.3,7396.9,7522.6,7652.4,7800.3,7919.1,7993.2,8248.4,8407.5,8531.7,8675.2,8811.9,8951.5,9096.7,9250.5,9338.9,9444,9575.2,9668.7,9793.4,9923.4,10052,10171,10245,10399,10531,10655,10776,10918,11053,11201,11338,11491,11574,11677,11805,11900,12027,12156,12288,12405,12478,12685,12803,12939,13062,13178,13252,13485,13674,13857
3253.8,3387.8,3531.3,3706.2,3891.3,4043.8,4185.7,5487.4,5638,5794.1,5965.8,6121.7,6264.5,6409.7,6589,6738.8,6894,7041.1,7135.5,7234.2,7351.4,7484.7,7613,7705.5,7850.9,7967.2,8047.6,8294.8,8443.8,8594.2,8737.9,8875.1,9031.4,9177.4,9306.7,9403.8,9509.9,9631.6,9759.9,9887.2,9978.5,10114,10228,10310,10458,10568,10696,10842,10982,11116,11271,11418,11543,11639,11744,11858,11992,12120,12218,12345,12470,12550,12721,12860,12975,13116,13236,13316,13525,13716,13889
