g,g,g,c,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,g,g,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e,h,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f
3591.7,3740.8,3977.3,4154.2,4283.4,4455.2,4593.2,4745.2,4891.8,5034.5,5170.9,5314.1,5458.8,5603.6,5690.8,5788.6,5908.9,6000.5,6122.2,6418.9,6580.9,6737.5,6855.8,6988.9,7131.5,7262.7,7396.2,7533.8,7675.2,7827.1,7963.8,8121.1,8263.9,8404.1,8544.8,8678.5,8845.9,8989.1,9127,9268.3,9419.6,9568.6,9651.5,9750.2,9871.2,9957.5,10080,10206,10336,10449,10522,10672,10806,10917,11027,11098,11248,11379,11526,11647,11785,11913,12015,12158,12288,12429,12580,12665,12765,12893,12985,13107,13232,13365,13480,13549,13709,13836,13979,14119,14275,14359,14463,14586,14680
3645.5,3791.6,4022.2,4174.9,4326.1,4492.7,4668.2,4816.6,4955.4,5095.4,5244.3,5392,5537.8,5663.6,5753.6,5851.5,5967,6088.8,6173.1,6460,6628.8,6775.8,6914.3,7054.1,7193.9,7332.6,7472.6,7606.6,7750.5,7892.1,8037.3,8181.7,8326.5,8471.8,8607.6,8746.8,8923.7,9067.1,9188,9341.7,9497.7,9627.1,9718.5,9811.8,9917.2,10053,10175,10266,10395,10507,10587,10736,10846,10967,11087,11164,11308,11417,11579,11709,11821,11935,12080,12226,12366,12507,12639,12731,12832,12946,13076,13199,13293,13423,13540,13617,13774,13917,14056,14201,14335,14424,14529,14640,14772
