c,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,e,j,j,i,l,l,d,f,f,i,d,k,l
3937.8,4118.2,4253.6,4428.5,4549.3,4696,4837.2,4992.3,5148.2,5300.9,5446.1,5591.1,5730.3,5874.1,6026.6,6115.8,6212.3,6343.2,6436.1,6562.2,6694.7,6831.8,6947.3,7019.3,7186.8,7338,7575.5,7717.2,7872.1,8019.1,8108.3,8207.3,8335.7,8429.5,8555.4,8681.5,8822.2,8944.2,9013.1
3980.1,4157.4,4314.6,4452.1,4628.9,4770.9,4896.1,5055.7,5209.9,5367.1,5512.4,5666.5,5807,5956.4,6083.9,6179.2,6276.8,6400.2,6525.3,6655.8,6753.4,6892.4,7008,7090.5,7249,7377.5,7640.6,7788.5,7947.3,8075.9,8174.6,8275,8395.6,8523.8,8648.3,8745.4,8879.8,8996.8,9078.2
