c,c,c,c,c,c,g,c,e,g,g,g,e,e,e,e,e,e,j,j,i,l,l,d,f,c,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,b,b,e,e,j,h,l,l,d,f,f,i,d,k,l,e,d,k,l,e,h,c,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g,c,e,g,h,c,c,b,c,c,c
7327.8,7494.8,7630.3,7790.6,7949.9,8128,8322.5,8501.8,8696.1,9141.6,9305.8,9497.6,9678.5,9833.4,10020,10179,10350,10521,10675,10816,10976,11066,11169,11299,11393,11635,11777,11936,12082,12228,12395,12544,12631,12737,12876,12972,13103,13234,13373,13490,13564,13727,13866,14020,14182,14445,14575,14726,14873,15016,15180,15271,15376,15511,15606,15733,15864,16009,16125,16200,16357,16490,16615,16690,16850,16992,17100,17229,17375,17517,17662,17786,17942,18092,18245,18402,18492,18594,18727,18822,18951,19081,19224,19342,19416,19660,19798,19924,20090,20248,20375,20506,20534,20664,20827,20988
7366,7521.7,7667,7834.9,7994.5,8167.7,8365.1,8553.9,8743.4,9186.1,9352.8,9543.9,9742.6,9893.3,10091,10240,10410,10586,10751,10902,11038,11136,11241,11350,11487,11688,11843,12002,12160,12314,12475,12609,12705,12811,12931,13065,13195,13301,13427,13555,13635,13791,13950,14104,14264,14500,14642,14788,14939,15096,15229,15345,15444,15561,15703,15830,15923,16063,16188,16272,16424,16550,16679,16758,16913,17036,17146,17294,17444,17582,17728,17868,18025,18176,18330,18465,18563,18665,18780,18919,19048,19145,19284,19407,19488,19697,19842,19988,20137,20277,20436,20528,20566,20726,20886,21038
