g,c,c,c,c,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,j,i,l,g,b,e,h,b,e,e,d
3536.3,3704.9,3840.4,3978.8,4113.3,4250.2,4408.2,4587.9,4732.9,4864.6,5020.7,5167.3,5309.9,5459.4,5599.4,5746.6,5892.3,6038.5,6187.1,6272.5,6375.5,6499.8,6592.2,6716.9,6845.8,6988.2,7108.7,7178.9,7345.7,7493.4,7639.5,7791.8,7876.9,7980.6,8103.3,8192.6,8314.1,8441.3,8572.2,8686.5,8762.8,8921.3,9057.7,9206.5,9357.9,9445.1,9546.2,9678.3,9769.5,9892.5,10024,10157,10272,10343,10502,10652,10775,10897,11039,11175,11312,11449,11601,11761,11914,12004,12224,12383,12512,12646,12800,12923,13089,13231
3567.8,3730.5,3876.6,4016.7,4158.9,4317,4470.5,4633.1,4783.7,4933.3,5095.7,5244.3,5374.5,5521.7,5666.5,5821.5,5972.9,6116.4,6243.2,6339.5,6438.7,6552.6,6682.7,6811,6910.9,7042.2,7171.1,7246.8,7405.7,7576.1,7719.2,7852,7944.2,8045.2,8159,8282.7,8404.3,8503.7,8629.6,8746.3,8824.8,8986.1,9138,9286.6,9419.7,9513.4,9611.3,9735.2,9862.8,9984.6,10088,10209,10335,10412,10565,10688,10813,10963,11102,11243,11382,11529,11683,11843,11974,12060,12264,12432,12574,12682,12839,12990,13150,13296
