c,c,g,c,c,c,c,c,b,b,b,b,b,b,c,b,e,e,e,e,e,e,e,g,g,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
95.906,286.78,1998,2152.1,2310.7,2470.7,2643.2,2782.3,2909.5,3061.9,3225,3373,3537.7,3692.6,3847,4012.8,4181.4,4355.4,4506.1,4653.4,4805.2,4965.4,5117.3,5271,5421.2,5583,5721.4,5873.8,6010.2,6153.9,6305.9,6483.7,6650.4,6795.8,6939.4,7085.2,7228,7369.1,7512,7662.7,7813.5,7967.2,8052.8,8154,8283.3,8374.3,8499.3,8629.5,8763.8,8881.9,8953.8,9110.1,9238.5,9357.8,9429.6,9587.8,9719.6,9863.7,10015,10102,10206,10335,10429,10555,10687,10828,10944,11018
147.06,341.88,2031,2189.5,2353.3,2508.8,2684.2,2830,2958.9,3128.5,3289.4,3443.8,3610,3767.4,3918.5,4081.1,4242.3,4415.2,4567.2,4713.9,4866.1,5027.9,5182,5313.6,5468.4,5639.1,5790.9,5939.3,6079.8,6226.8,6377,6550.3,6714.9,6858.6,7004.5,7148.4,7288.3,7444.7,7588.9,7743.1,7893.9,8027.4,8122.3,8221.9,8333,8469.1,8591.5,8689.6,8820.9,8942.4,9022.7,9172.8,9294.8,9414.9,9497.4,9648.5,9797.8,9945.8,10076,10174,10278,10386,10523,10650,10748,10884,11007,11089
