g,c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,k,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e
1996.9,2147.1,2292.8,2436.8,2590.2,2730.3,2877.8,3005.4,3159.2,3288.4,3448,3599.3,3745.8,3887.9,4043.3,4183.2,4340,4475.7,4615.2,4764.8,4914.8,4998.9,5099,5229.6,5319.6,5444.1,5569.9,5706.4,5820.7,5891.6,6047.1,6174.9,6317.4,6464.4,6616,6765,6852.6,6950.4,7080.9,7171.2,7294.1,7420.8,7554.5,7665.4,7738.9,7894.3,8020.9,8164.6,8306.2,8454.8,8539.2,8641.9,8766.8,8859.5,8985.6,9115.2,9250.1,9363.8,9435.9,9600.8,9734,9869.2,9988.2,10132,10271,10411,10544,10689,10845,10997,11082,11183,11312,11405,11531,11659,11796,11911,11983,12149
2027.8,2182.6,2333.8,2475.7,2632.7,2772.4,2942.2,3073.5,3227.3,3357,3513.3,3660.5,3807.5,3949.1,4105.1,4245.7,4402,4551,4693,4844.6,4973.4,5067.3,5169.8,5281.4,5410.6,5535.8,5631.9,5763,5883.3,5959.1,6106.9,6254.2,6396.4,6543.1,6695.2,6826.9,6919.8,7016,7133.7,7265.9,7391.1,7482.6,7608.2,7725.3,7808.3,7957.3,8101.1,8247.5,8386.9,8513.8,8607.7,8709.4,8821.7,8950.7,9075.7,9176.1,9302.4,9424.9,9504.2,9658.1,9774.5,9910.8,10050,10194,10331,10474,10622,10770,10922,11057,11153,11255,11367,11498,11622,11722,11851,11976,12054,12196
