c,c,c,g,c,c,c,c,c,b,g,c,b,c,b,b,b,b,b,e,e,e,e,e,e,g,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g
6108.1,6260.6,6591.9,7298.2,7428.8,7587.8,7730.3,7885.4,8010,8188.9,8951.6,9102,9250.9,9390.7,9541.6,9678.5,9974.2,10128,10296,10454,10593,10741,10879,11024,11160,11232,11428,11567,11710,11856,12005,12090,12185,12316,12405,12528,12654,12791,12903,12977,13137
6139,6290.5,6633.8,7335,7471.5,7621.9,7768.6,7930.3,8087.2,8242.5,8994.6,9143.2,9298.8,9446.4,9598.8,9735.2,10040,10194,10363,10540,10654,10802,10943,11085,11224,11354,11491,11634,11797,11935,12060,12154,12257,12367,12496,12620,12719,12844,12963,13040,13186
