c,c,b,b,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,g,b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,d,k,l,e,h,c,e,h,g,g,h,g,g,b,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l
1156.7,1295.3,1476.2,1623.7,1776,1962.1,2120.2,2267.2,2415.9,2594.3,2747.3,2900.1,3053.2,3198.5,3343.6,3494.8,3643.8,3775.6,3920.1,4069.3,4215,4302,4404.8,4529.6,4622.4,4747.3,4878.9,5010.3,5127.2,5202.4,5409.4,5522.6,5671.1,5847.4,5986.2,6122.2,6267.3,6407.6,6562.1,6707.2,6851.4,6988.6,7143.9,7285.4,7432.2,7592,7734.5,7887.6,8035.2,8174.4,8318.9,8464.2,8616.2,8702.2,8805.9,8930.4,9022.5,9146.8,9273.9,9405.5,9519.4,9593.2,9744.1,9879.3,9999,10117,10191,10354,10487,10604,10678,10832,10965,11103,11248,11380,11586,11736,11907,12059,12203,12370,12491,12645,12787,12936,13090,13246,13398,13485,13588,13715,13807,13936,14064,14198,14316,14386
1190,1334.4,1522.5,1660.8,1820.4,2013.6,2189.7,2335.8,2484.8,2660.5,2812.5,2959.9,3114.1,3259.9,3409.5,3557.1,3709.8,3852.8,4000.3,4145.1,4271.3,4368.7,4470.3,4578.2,4714.5,4841.3,4940.4,5061.4,5185.6,5262.2,5439.9,5582.3,5730.7,5881,6027.6,6189,6336.3,6478.2,6636.8,6778.3,6924.1,7063,7214.9,7355.2,7507,7651.1,7804.6,7940.1,8098.6,8256,8398.4,8544.1,8674.4,8769.2,8871.6,8982.5,9116.4,9241.8,9334.3,9459.7,9577.1,9656.3,9808.4,9920.4,10050,10178,10256,10415,10542,10665,10743,10895,11004,11125,11311,11421,11622,11779,11935,12097,12246,12406,12554,12711,12864,13016,13171,13326,13456,13553,13654,13770,13902,14027,14122,14253,14373,14454
