c,c,c,c,c,g,c,c,b,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,b,e,h,b,b,b,b,b,b,b,b,b,b,b,b,b,g,h,h,g,e,j,d
514.25,682.72,864.5,1018.8,1169,2705.1,2851.8,3002,3148.7,3313,3496.7,3652.6,3812.6,3981.2,4132.4,4263.9,4432.9,4601.4,4755.5,4904.6,5062.3,5216.1,5368.9,5521,5673.8,5807.2,5943.8,6092.4,6244.1,6331.6,6435.2,6564.8,6655.2,6777.8,6904.7,7039.6,7154.6,7228.4,7381.1,7511,7628.7,7701,7873.3,7993.7,8143.3,8300.5,8406,8545.2,8671.3,8816.7,8969.6,9121.6,9279,9413.5,9559,9703.6,9848.1,9987.5,10150,10301,10430,10578,10730,10873,11024
540.91,719.19,903.12,1043.6,1198.6,2744,2886.9,3041,3200.2,3359.2,3558.2,3673.8,3858.1,4006.6,4199.6,4333.8,4507.9,4663.7,4816.1,4964.4,5119.7,5275.6,5426.3,5583.9,5734.1,5881.6,6025.9,6171.9,6305.6,6395.5,6499,6615.6,6746,6872.5,6962.4,7094.4,7213.6,7290.2,7445.2,7561.5,7689.8,7768.2,7918.2,8057.2,8180.4,8332,8468.5,8609,8738.4,8890.7,9040.9,9198.4,9349.2,9489.8,9631.8,9775.9,9912.5,10066,10192,10334,10463,10617,10791,10953,11081
