g,c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,k,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
2578.3,2739.6,2887.4,3038.4,3176.2,3316.1,3468.4,3603.6,3759.2,3897.7,4058.7,4198.8,4402.4,4585.7,4734.5,4876.5,5025.1,5165.3,5301.8,5446.3,5592.4,5743.3,5892.1,5976.1,6076.8,6204.3,6294.8,6419.8,6545.2,6675.7,6791.1,6858.6,7012.7,7142,7291.8,7440.2,7524.8,7626.4,7751.5,7842.6,7962,8087.4,8224,8339.3,8409,8571.8,8714.7,8826.2,8938.8,9010.2,9163.7,9310,9425.2,9541.8,9687.2,9828.7,9973.1,10108,10250,10399,10486,10590,10714,10805,10929,11056,11188,11304,11374,11532,11672,11816,11971,12056,12153,12285,12375,12499,12628,12777,12901,12971
2619.1,2770.9,2927,3079.6,3225.8,3368.3,3528.2,3680.6,3829.2,3977.2,4126,4272.1,4471,4658,4799.5,4941,5098.5,5230.5,5363.2,5521.6,5672.3,5823.3,5952.5,6044.2,6147.5,6259.7,6388.2,6510.8,6606.9,6731.8,6851.2,6931.9,7078.5,7222,7370.2,7501.4,7596,7696,7802.1,7933.2,8056.3,8151.7,8282.5,8401.4,8480.7,8631.8,8757.8,8881.2,9000.3,9078.1,9227.6,9348.4,9470.4,9607.4,9752.1,9896.5,10043,10186,10333,10461,10556,10657,10770,10896,11025,11121,11245,11369,11445,11594,11750,11896,12033,12126,12223,12334,12472,12596,12691,12831,12950,13021
