c,c,c,g,c,c,c,b,b,b,b,b,e,e,e,e,e,e,j,j,i,l,l,d,f,f,g,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,g,g,g
2132.1,2267.9,2442.8,2598.5,2766,2881.3,3042.1,3207.3,3355.6,3526.2,3656.6,3844,4032.8,4206.4,4368.9,4519,4670.6,4838,4985.5,5137.8,5298.4,5384.4,5489.5,5617.1,5708.2,5845.8,6156.5,6315.3,6482.7,6633.7,6782.4,6940.2,7079.6,7227,7373.8,7514.9,7598.2,7698.1,7827.1,7922.6,8048,8179.2,8310.4,8423.5,8493.5,8649.6,8779,8922.4,9067.5,9214,9382.7,9526.8,9687.9
2170.6,2304.6,2468.9,2638.3,2806.9,2931.5,3089.3,3274.1,3423.8,3566.3,3723.1,3893.1,4099.7,4260.6,4430.4,4577.9,4729.7,4894.6,5064.8,5219.5,5348.3,5448.7,5558.4,5668.2,5794.3,5908.2,6196.7,6362.5,6526.2,6694.3,6846.2,7005.5,7158.7,7306.7,7451.8,7574.2,7665.4,7767.2,7879.7,8014.4,8138.8,8237.4,8365.7,8481.4,8560.4,8709.5,8860.9,9003.5,9147.6,9291.2,9415.4,9558.2,9723.7
