g,c,b,c,b,b,b,b,g,g,e,e,e,e,e,g,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,j,j,j,i,l,l,d,f,f,g,g,b,b,b,b,b,c,b,b,b,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l
1998.8,2126.8,2274.3,2448.7,2599.9,2747.4,2892.1,3040.4,3523.8,3675.7,3823,3964.5,4124.6,4283.8,4419.1,4581.6,4741.7,4870.5,5017.8,5149,5296.8,5437.8,5580.8,5713.1,5853.7,6012.6,6157.7,6308.9,6461.1,6626.8,6775.7,6910.6,7044.3,7193.8,7339.1,7489.1,7571.8,7674.3,7803.5,7894.1,8018,8145,8279.7,8397,8467.4,8622.8,8759.7,8910.8,9051.6,9198,9283.8,9385.6,9517.4,9609.7,9732.4,9863.2,9997.7,10119,10191,10357,10497,10621,10743,10893,11029,11178,11325,11489,11575,11682,11810,11906,11965,12131,12291,12435,12547,12677,12828,12979,13182,13301,13438,13582,13727,13878,14041,14196,14346,14488,14631,14760,14911,15056,15204,15362,15446,15549,15677,15771,15901,16031,16182,16303,16375
2029.4,2161.1,2318.1,2493.5,2664.2,2815.5,2957.4,3112.6,3563.9,3718.5,3883.3,4022.8,4182.8,4343.2,4482.3,4618.2,4788.7,4939.1,5079.1,5219,5364.2,5507.1,5644.8,5782.7,5927.7,6082.8,6234.8,6384.2,6520.6,6686.2,6835.9,6974.6,7122.3,7271.2,7417.2,7547.1,7641.3,7745.5,7855.7,7988.2,8113.7,8208,8336.2,8457.1,8534.1,8683.3,8842.4,8989.8,9130.5,9262.7,9355.3,9459.1,9568.8,9701.8,9823.3,9923.8,10054,10179,10258,10416,10536,10663,10804,10959,11109,11258,11411,11546,11642,11749,11862,11949,12001,12164,12328,12475,12610,12747,12902,13051,13234,13369,13512,13657,13800,13955,14109,14262,14409,14550,14691,14841,14993,15136,15283,15423,15517,15619,15733,15868,15999,16093,16231,16364,16444
