c,c,c,b,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l
2524.8,2678.8,2816.2,2947.2,3095.2,3236.2,3388.9,3535.6,3687.3,3840.3,3982.4,4132.3,4272.7,4412.3,4569.2,4706.1,4853.1,4998.3,5084.1,5182.4,5312.3,5402.4,5526.3,5636.8,5790.4,5902.8,5975.2,6128.6,6260.6,6408.1,6561.9,6649.5,6750.1,6875.2,6964.7,7089.6,7221.2,7362.1,7614.2,7734.8,7876.7,8020.8,8166.1,8305.8,8454.3,8608.7,8695.5,8797,8924.3,9016.2,9141.7,9268.2,9401.1,9515.2,9588.8,9744.6,9872.5,9993.2,10064,10236,10368,10516,10672,10758,10863,10988,11081,11205,11335,11473,11590,11662,11890,12040,12164,12314,12453,12597,12741,12903,12990,13092,13222,13317,13446,13577,13717,13836,13908
2551,2714.2,2867.2,3012.5,3159,3307.5,3449.3,3604.1,3759.4,3915.7,4043.2,4195.5,4332.2,4473.4,4633.7,4782.3,4930.6,5058.3,5151.6,5252.2,5366.8,5491.7,5618.4,5715.3,5844.7,5967.8,6041.8,6188.5,6339.6,6487.1,6620.6,6716.4,6819.2,6930.4,7055.9,7182.5,7281.9,7417.4,7656.6,7796.3,7942.5,8087.2,8228.2,8382.6,8531.4,8664,8761.2,8863.9,8976.9,9106.4,9235.2,9329.5,9455.5,9580.7,9655,9800.5,9928.8,10057,10136,10299,10447,10596,10733,10828,10929,11046,11171,11302,11399,11531,11655,11730,11932,12082,12224,12373,12518,12666,12823,12963,13060,13160,13279,13407,13540,13640,13771,13901,13975
