g,g,c,g,g,e,e,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,e,b,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,e,e,e,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2559.4,2727.2,2875.7,3078.6,3269.6,3414.3,3560.8,3716.7,3869.7,4012,4148.7,4300.9,4386.3,4488.4,4621.5,4711.4,4839.1,4960.7,5097.5,5212.1,5281.9,5433,5575,5729,5867.6,6004.5,6139.7,6283.2,6426,6571.5,6658.7,6757.4,6885.5,6975.8,7100.2,7225.8,7360.2,7471,7542.7,7697.8,7822.5,7958.1,8077.8,8226,8357,8492,8638.9,8790.1,8873.5,8974,9101.7,9192.4,9312.5,9438.7,9573.7,9696.8,9766.4,9943.9,10068,10213,10355,10506,10669,10801,10964,11110,11260,11402,11548,11688,11832,11972,12121,12265,12442,12597,12743,12885,13023,13163,13313,13466,13550,13655,13782,13873,14003,14130,14271,14396,14466
2601.6,2762.4,2909.8,3125.6,3317.5,3470.5,3621,3777,3932.6,4074,4229.9,4357.6,4455.4,4559.2,4672.7,4802.7,4931.4,5025.7,5152.4,5270.5,5350.5,5492.2,5617.6,5780.5,5928.4,6070.8,6218.7,6362.1,6504.9,6630.8,6726.1,6828.2,6943.8,7069.7,7191.9,7288.2,7413,7533.8,7608.3,7758.3,7865.7,8001.4,8141,8291.5,8421.6,8573,8718.5,8849,8946.2,9045.9,9156.8,9285.8,9407.2,9499.6,9629.1,9737,9816.9,9992.7,10130,10279,10419,10554,10723,10876,11036,11180,11330,11472,11620,11761,11907,12055,12199,12342,12511,12660,12803,12949,13088,13243,13394,13527,13621,13724,13834,13969,14097,14193,14326,14453,14534
