c,c,c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,e,e,b,b,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,g,g,g,e,h,g,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l
2302.4,2460.2,2633.9,2781.2,2972.1,3504.9,3653.4,3801.9,3965.3,4095.3,4272.3,4402.2,4562.1,4717.7,4859.9,5007,5152.6,5301.8,5441.4,5587.7,5743.5,5864.3,6003.4,6140.2,6279.4,6415.9,6586.8,6743.2,6869.3,7010.4,7155.5,7296.5,7421.3,7565.3,7712.8,7797.9,7899.9,8023.1,8115.8,8239,8366.2,8492,8605.7,8677.6,8827,8952.4,9073.8,9140.3,9303.9,9438.6,9559.7,9634.7,9786.2,9914.5,10062,10204,10350,10436,10536,10665,10756,10882,11008,11139,11266,11332,11542,11658,11790,11931,12077,12245,12374,12537,12674,12811,12962,13091,13223,13358,13495,13643,13784,13924,14058,14208,14361,14451,14547,14674,14766,14890,15020,15155,15274,15346
2331,2506.2,2675.7,2837.8,3021.8,3539.8,3688.9,3852.9,4025.6,4153.9,4309.7,4451.6,4625,4780.2,4920.2,5068.8,5216,5364.3,5503.9,5655.4,5769.2,5927.7,6067.9,6206.6,6342.2,6482.5,6636.7,6786.8,6942.2,7076.9,7215.3,7359.8,7497.6,7644.2,7767.9,7864.1,7963.4,8076.5,8210.3,8333.6,8422.2,8546.2,8671.6,8744.1,8889,9010.9,9125.3,9207.2,9363,9494,9615.4,9693.3,9849.8,9993.1,10138,10280,10410,10502,10607,10715,10845,10971,11069,11193,11318,11396,11568,11716,11828,11962,12119,12277,12428,12593,12715,12854,13009,13149,13285,13424,13562,13705,13850,13989,14135,14289,14417,14515,14613,14726,14856,14983,15079,15209,15338,15412
