c,c,g,c,c,g,g,c,c,c,b,b,b,b,b,b,g,e,e,e,e,g,b,b,c,g,g,e,e,e,j,j,g,g,g,g,g,b,e,h,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
428.69,575.94,745.31,949.12,1233.6,2086.5,2500.9,2641.1,2793.6,2931.7,3058.9,3209.9,3363.5,3523.4,3684.5,3831.8,4203.4,4351.7,4488,4641.7,4793.9,5346.9,5488.8,5641.5,5799.9,6952.7,7091.1,7228.3,7384.3,7520.2,7655.4,7804.7,7971.8,8122.6,8285.3,8427.9,8572.7,8715.9,8849.7,8980.7,9115.6,9254.2,9403.3,9569.8,9694.2,9850.8,9964.2,10108,10252,10401,10533,10685,10837,11001,11140,11276,11412,11562,11704,11857,11942,12046,12172,12264,12388,12518,12644,12763,12835,12995,13124,13275,13424,13574,13663,13764,13894,13987,14113,14238,14374,14496,14569
465.22,610.47,787.03,975.12,1270.8,2115.5,2538.2,2683.4,2833.8,2982.5,3129,3275.2,3433.1,3590.1,3753.5,3904.8,4249.1,4408.6,4550.9,4697.7,4852.7,5384.9,5536,5708.8,5846,6993.8,7135.2,7288.1,7445.4,7579.6,7733.9,7880.6,8005.5,8156.8,8312.2,8474.1,8609.6,8761.3,8907.9,9020.4,9177.3,9310.3,9453.1,9614.2,9755.3,9898,10040,10178,10322,10470,10604,10754,10910,11067,11202,11339,11488,11637,11780,11916,12011,12111,12231,12356,12481,12572,12702,12822,12901,13055,13207,13357,13505,13636,13731,13833,13946,14078,14206,14305,14431,14558,14634
