g,g,g,b,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,e,e,e,j,j,j,j,i,l,l,d,f
2385.6,2564.3,2745.5,2895.9,3040.7,3179.3,3315.7,3455.1,3598.5,3735.9,3870.7,4003.6,4138.8,4294.9,4444.9,4587.1,4732.5,4865.2,5004,5139.5,5268.1,5414.1,5558.8,5706,5790.3,5891.8,6021.4,6112.1,6234.5,6357,6490.1,6604.2,6675.8,6828.7,6952.9,7096.7,7241.9,7391.2,7476.1,7576.7,7701.9,7792.5,7914.9,8039.8,8171.4,8287.5,8358,8515.8,8651,8771,8841.8,8995.2,9138.5,9282.8,9434.6,9518.7,9622.1,9748.5,9841.6,9966.7,10092,10229,10347,10419,10579,10714,10894,11025,11153,11289,11427,11554,11698,11850,11999,12157,12243,12342,12473,12567
2426.1,2606.7,2788.8,2938.7,3085.4,3221.8,3362.9,3503.2,3671.6,3807.7,3937.9,4073.1,4212.3,4366,4518.8,4652.8,4797,4930.4,5071.2,5205.3,5344.7,5493.5,5636.8,5764.4,5859.9,5959.9,6075,6206,6329,6420.6,6542.4,6663.6,6745.4,6888.2,7033.6,7179.3,7323.1,7453.1,7544.7,7645.6,7758.7,7883.9,8010.5,8103.7,8230.4,8350.6,8429.4,8576.2,8704.9,8829.7,8911.3,9056.3,9217.5,9365.9,9495.5,9588.2,9693.4,9800.8,9935.8,10059,10154,10288,10408,10485,10642,10757,10934,11074,11217,11351,11492,11634,11780,11932,12078,12218,12314,12415,12526,12629
