c,c,c,c,c,b,b,c,b,b,b,b,b,b,b,g,g,b,e,e,e,e,e,j,j,i,l,l,d,f,f,c,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,e,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,g,b,e,g,c,b,b,b,b,c,e,e,e,e,e,j,j,i,l,l,d,f,f
1518.8,1691.2,1850.9,1988.5,2141.7,2271.9,2431.6,2612.7,2761.3,2941.4,3113.4,3242.2,3414,3547.8,3693.8,3859.2,4018.6,4164.4,4298.4,4438.2,4578.6,4716.8,4852.8,4984.7,5139.7,5287.1,5373.3,5475.4,5601.6,5691.8,5815.1,5976.4,6090,6228.8,6333.1,6450.8,6520.7,6673.1,6801,6951,7095.6,7181,7281.9,7409.5,7501.4,7627.4,7756.6,7887.2,8003.9,8076.8,8258.2,8375.8,8519.2,8761.2,8904.5,9056.8,9144.4,9246.1,9374.7,9466.7,9593.6,9724,9855.8,9972.5,10046,10209,10339,10457,10574,10645,10799,10942,11088,11229,11352,11496,11625,11744,11881,12030,12180,12330,12482,12630,12777,12912,13057,13184,13329,13480,13563,13665,13793,13884,13945
1553.4,1723.9,1888.8,2027.7,2177.1,2336.2,2498.5,2676,2831,3016.3,3154.6,3308,3480.9,3623.3,3767.5,3899.3,4061.8,4211.4,4362.9,4499.3,4641.7,4780.1,4916.2,5064,5217.8,5347.1,5442.2,5541.2,5654,5780.1,5869.6,6010.8,6153.5,6271.8,6387.2,6505.8,6586.5,6732.5,6878.9,7024.3,7157.3,7252.1,7351.8,7461.1,7593.3,7722.5,7817.6,7943.6,8061.5,8143.8,8296.5,8438.5,8557.5,8823.9,8984.6,9116.6,9210.5,9312.9,9426.5,9561,9687.4,9786.7,9909,10032,10111,10259,10382,10512,10631,10712,10862,10988,11120,11272,11412,11537,11676,11816,11955,12099,12255,12385,12537,12695,12841,12976,13120,13265,13408,13538,13633,13733,13843,13938,13979
