c,c,c,c,b,c,b,b,h,g,c,c,c,c,b,b,b,b,g,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,g,g,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,b,e,e,d,k,l,e,h,d,k,l,b,e,h,g,b,b,b,b,b,g,g,g,h,g,g,g,g
2965.3,3140,3279.1,3443.2,3603.1,3780.8,3947.1,4112.5,5287.4,5583,5758.5,5917.7,6044.5,6215.8,6379.6,6524.6,6651.4,6788.8,7567.7,7703,7846,7997.8,8134.8,8270.7,8409.2,8549.9,8696.8,8845.9,8930.3,9030.5,9155.9,9246.4,9371.2,9497.3,9629.6,9741.7,9811.4,9963.7,10091,10235,10380,10528,10612,10712,10837,10926,11049,11179,11309,11424,11498,11648,11773,11888,12000,12074,12223,12352,12513,12645,12768,12910,13046,13178,13332,13416,13517,13642,13735,13859,13981,14114,14233,14306,14475,14592,14719,14848,14964,15098,15235,15352,15425,15579,15723,15846,15960,16033,16223,16339,16474,16770,16928,17084,17222,17358,17505,17751,17903,18064,18214,18352,18525,18679,18824
2997.1,3178.8,3323.4,3489,3661.8,3816.2,4004.9,4189,5334.5,5622.2,5795.7,5952.7,6079.2,6257.7,6438.2,6585.6,6719.8,6859.4,7608.4,7771,7904.3,8058.7,8196.5,8333.1,8475.1,8627,8775.1,8903.6,8996,9094.4,9209.2,9333.9,9463.9,9558.9,9684.2,9802.3,9876.2,10022,10165,10311,10454,10589,10680,10778,10887,11016,11143,11236,11362,11482,11561,11707,11810,11941,12059,12136,12283,12395,12546,12685,12832,12970,13109,13260,13389,13485,13585,13695,13828,13950,14038,14174,14294,14369,14511,14651,14759,14889,15030,15168,15296,15412,15488,15637,15763,15900,16018,16099,16265,16402,16514,16819,16985,17148,17290,17430,17576,17792,17951,18123,18251,18387,18561,18719,18873
