c,c,c,c,c,b,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,k,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,b,e
3163.8,3290.6,3429.5,3589.4,3715.9,3884.8,4022.2,4159.1,4308.2,4473.9,4622.1,4760.8,4907.2,5046.7,5187.5,5331.1,5479.4,5562.4,5662,5789.5,5885,6009.8,6137.2,6277.9,6403.5,6472.8,6625.8,6748.7,6892.9,7046.7,7202,7287.8,7388,7520.2,7614.7,7739.1,7870.7,8011.2,8128.1,8203.3,8359.5,8497.3,8618.6,8689.7,8846.9,8972.9,9124.9,9212.8,9314.1,9445.2,9539.4,9668,9799.6,9935.5,10052,10125,10282,10419,10572,10718,10880,10969,11075,11210,11303,11431,11562,11715,11833,11907,12073,12217,12338,12463,12536,12699,12844,13035,13151
3200.8,3336.7,3484.8,3645.9,3786.1,3951,4086.4,4233.6,4383.5,4553.6,4692.5,4826.4,4988.2,5124.6,5269,5412.6,5539.4,5632.6,5731.7,5844.8,5976.5,6103.8,6200.6,6336.6,6449.4,6521.9,6686.1,6830.8,6975,7132.8,7262.6,7357.2,7460.1,7572,7709.3,7838,7936.8,8065.9,8188.3,8265.3,8423.7,8557.3,8680.2,8761.3,8905,9055.8,9190.7,9283,9385,9502.4,9632.8,9764.2,9861.3,9993.2,10115,10197,10345,10505,10656,10804,10945,11041,11142,11264,11398,11525,11628,11772,11901,11980,12136,12261,12397,12526,12610,12759,12889,13078,13216
