c,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,j,i,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,i
2945.2,3067.2,3221.7,3362.2,3541.9,3677.1,3829.3,3979.3,4126.8,4291.5,4459.8,4598,4756.4,4907.2,5046.4,5191.6,5351.1,5483.2,5629.6,5776.8,5861.8,5965.8,6089.1,6180.1,6303.6,6427.6,6569.8,6682.3,6752.6,6931.2,7063.5,7198.6,7329.5,7453.7,7617.7,7704.2,7803.1,7930.8,8021.8,8146.4,8272.7,8401.8,8514.2,8584.4,8741.1,8867,8989.4,9058.8,9209.5,9337.5,9454.8,9530,9680.4,9815.2,9935.7,10007,10166,10298,10450,10598,10745,10832,10931,11062,11154,11276,11404
2976.3,3112.7,3266.8,3412.9,3598.2,3745.1,3900.2,4048.8,4199.9,4359.7,4527.1,4672.6,4821.9,4968,5109.5,5257,5413.2,5563.2,5708.8,5836.2,5931.8,6033.4,6144.1,6270,6396.6,6490.4,6627.5,6739,6821.6,6977.5,7116.1,7262.2,7408.5,7544.2,7679.9,7772.8,7872.5,7986.6,8114.2,8240.1,8336.2,8454.4,8576.8,8658.6,8799.8,8923.6,9033.9,9112.1,9270.6,9390.9,9516.7,9597.2,9741.1,9874.9,9994.3,10076,10230,10379,10528,10678,10809,10900,11003,11117,11244,11373,11468
