g,c,c,b,c,c,b,b,b,g,g,g,g,b,b,b,b,b,b,b,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,g,b,b
2496.8,2653.1,2813.3,2975.2,3131,3279,3401.3,3569.8,3781.2,4349,4502.2,4697.6,4883,5044.9,5206.6,5348.7,5480.5,5620.5,5783.1,5929,6074.8,6222.1,6391.2,6570.7,6727.7,6886.8,7029.1,7171.8,7315.8,7451.5,7605.2,7690.5,7800.9,7936.9,8027.4,8157.9,8284.8,8417,8536.5,8608.2,8793.6,8928.3,9068.9,9222.1,9304.4,9408.5,9537.1,9628.8,9754.1,9882.2,10014,10128,10199,10355,10488,10643,10801,10908
2535.7,2693.6,2858.5,3015.2,3177.8,3342.1,3482.6,3639.4,3846.2,4391.8,4544.8,4740.4,4922.6,5099.2,5270.7,5417.1,5550.4,5697.3,5856.5,6000.3,6149.8,6303.2,6472,6639.6,6790.1,6945.8,7090.4,7231.6,7391.5,7529.8,7663.4,7757.2,7868.1,7983.2,8118.8,8250.6,8347.9,8476.1,8595.2,8677.2,8854.6,9009,9150.4,9283.8,9375.6,9477.4,9591.3,9721.3,9845.4,9943.9,10072,10192,10270,10412,10529,10680,10850,10982
