g,g,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,e,j,j,j,i,l,l,d,f,f,e,h,g,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,g,b,e,h,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,c,c
2245.4,2440.4,2587.9,2721.5,2868.8,3001.6,3145.7,3275.8,3404.6,3547.5,3696.1,3848.6,3997.4,4134.9,4273.4,4401.4,4535.2,4676.8,4813.4,4957.1,5096.1,5234.5,5377.7,5521.7,5605.3,5703.1,5828.5,5918.9,6041.9,6167.6,6297.2,6418.5,6489.1,6639.1,6768.1,6916.2,7065.5,7151.1,7248,7373.7,7464.7,7589,7714.6,7845.8,7958.7,8030.2,8181.3,8316.2,8437,8507.3,8666.3,8798.5,8943.9,9085.9,9235.4,9321.1,9422.3,9551.8,9641.6,9764.5,10068,10207,10355,10478,10597,10733,10870,11003,11140,11281,11425,11576,11726,11811,11910,12040,12133,12258,12387,12514,12631,12702,12861,12987,13106,13178,13360,13551,13676,13808,14090,14224,14355,14505,14656,14803,14889,14993,15120,15215,15341,15468,15608,15722,15793,16073,16227,16357,16496
2294.4,2490.2,2623.5,2747.3,2905.7,3047.8,3200.5,3337.1,3473.8,3616.2,3766.2,3913.4,4056.3,4207.6,4337,4466.6,4600.7,4755.9,4881.1,5024.8,5171.4,5315.5,5452.9,5582.6,5673.9,5768.3,5879.7,6012.7,6134.7,6227.7,6349.7,6475.2,6552.8,6705.4,6849.6,6992.1,7126.3,7219.7,7317.3,7429.1,7556.3,7684.3,7777.8,7902.4,8018.7,8098.9,8244.2,8369,8496,8576.2,8731.4,8875.2,9020.3,9170,9292.3,9387.6,9489,9610.2,9731.8,9814.1,10134,10240,10394,10520,10664,10800,10938,11067,11215,11363,11503,11654,11785,11879,11979,12096,12227,12352,12447,12568,12690,12769,12924,13042,13167,13245,13410,13596,13742,13847,14159,14293,14435,14584,14737,14865,14958,15059,15171,15308,15436,15528,15663,15787,15861,16117,16254,16378,16523
