c,c,c,c,c,g,g,g,e,e,e,j,c,g,c,c,b,b,b,b,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,j,j,j,i,l,l,d,f,f,i
3139.8,3265.7,3404.2,3574.2,3727.8,5689.8,5841.6,5986.5,6151.3,6309,6477.2,6614.1,6781.4,6954,7350.6,7481.2,8719.2,8832.9,8992.2,9163.8,9369.1,9524.1,9672.4,9805.9,9967.4,10102,10243,10397,10479,10579,10707,10795,10915,11041,11167,11279,11352,11462,11636,11784,11933,12080,12165,12268,12390,12478,12600,12724
3161.8,3305.8,3447,3611.3,3767.2,5730.4,5884.9,6037.7,6208.8,6368.9,6551.9,6682.9,6814.7,7000,7391.5,7532.8,8742.4,8902.7,9060,9246.8,9427.3,9583.1,9727.8,9868.4,10029,10183,10329,10455,10543,10644,10754,10889,11012,11102,11223,11338,11415,11568,11717,11867,12010,12143,12229,12330,12442,12574,12690,12787
