c,c,c,c,c,b,b,b,b,b,e,e,e,e,e,e,g,b,b,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l
1221.6,1364.9,1544.4,1688.6,1842.7,1885,1987.8,2129.3,2299.4,2456.9,2800,2963.8,3120,3261.9,3415.5,3579.6,3748,3891.6,4035.5,4180.5,4363.1,4489.9,4639,4797.8,4960.8,5112.1,5258.3,5399,5539.5,5675.2,5821.9,5967,6115.7,6202.8,6304.6,6427.3,6519.8,6645,6772.4,6903.2,7018.5,7090.6,7295.9,7442.8,7562,7705.4,7845.6,7979.8,8122.8,8273.8,8419.6,8505.5,8610.5,8736.6,8828.4,8956.8,9089,9217,9329,9403.1,9561.9,9688.8,9815.2,9933.8,10005
1251.9,1400.8,1574,1742.2,1874.1,1908.7,2057.5,2199,2367.2,2528.4,2866.2,3024.6,3182.1,3325.5,3478.5,3641.3,3784.5,3939.7,4080.4,4246.6,4407.2,4560.2,4711.3,4872.7,5036.3,5186.9,5326.1,5468.2,5607.7,5755.5,5901,6043.8,6172.6,6269.2,6370,6484.2,6613.4,6739.9,6830.9,6956.6,7076.2,7154.2,7343.4,7482.5,7624.8,7772.1,7910.6,8054.7,8202.8,8354.5,8480.7,8572,8676.3,8794.2,8926.2,9054.6,9145.6,9276.8,9391.2,9471.1,9623.9,9727,9871.5,9992.1,10074
