c,c,b,b,b,b,b,b,c,e,e,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,g,b,e,e,e
2713.1,2875.5,2996.9,3143.9,3273.1,3435.4,3598.7,3758.9,3958.5,4090.5,4245.6,4399.4,4551.5,4694.5,4845.7,4984.4,5130.9,5293.6,5436.2,5581.9,5728.7,5817.8,5913.9,6042.1,6133,6258.3,6386.2,6517,6630.6,6702.1,6862,6998.5,7160.8,7348.5,7495.5,7599.5,7738.7,7883.4
2749.4,2901.1,3028.2,3201.3,3331.5,3501.9,3661.5,3823.3,3981.6,4149.4,4306.8,4459.8,4613.5,4757.7,4907.2,5063.2,5203.6,5366.7,5512,5657.2,5785.9,5880.8,5981.5,6091.5,6222.7,6348.5,6447.3,6571.4,6693.8,6769.4,6921,7075.1,7240.6,7375.9,7522.3,7660.4,7797.4,7976.3
