c,c,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,d,k,l,g
3308.8,3450.7,3630.2,3749.9,3874.8,4007.9,4185,4355.8,4502.4,4676.5,4824,4949.2,5098.9,5245.8,5389.4,5532.3,5664.9,5809.5,5953.3,6090.5,6234.9,6379.9,6464,6568.3,6691.3,6784.6,6905.4,7031.8,7163.9,7277.1,7349.2,7507.9,7632.4,7750.6,7821,7997.8
3334,3483.3,3665.2,3789.9,3938.8,4074,4255.2,4421.6,4561.4,4717.5,4860.1,5012.1,5160.8,5305.7,5448.7,5596,5739,5874.2,6025.2,6168.7,6311.5,6438.5,6532.5,6630.3,6745.7,6877.1,6999.1,7088.5,7216.9,7335.8,7415.3,7566.8,7687.8,7810.9,7888.8,8028.6
