c,c,c,g,c,g,c,b,b,c,b,b,b,b,b,e,e,g,e,e,e,b,c,b,b,b,b,g,e,j,h,l,l,c,g,g,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,b,e,d,k,l,g,j,l,g,g,g,g
1987.5,2154.3,2438.2,3152.2,3285.1,3446.8,3582.7,3725,3878,4017.2,4129.5,4285.7,4446,4612.6,4764.3,4942,5112.3,5309.7,5478.9,5623.4,5792,5988.3,6131.1,6290.2,6430.5,6588.7,6754.9,6903.3,7071.3,7218.7,7385.2,7475.5,7574.1,7758.3,7909.5,8088.9,8217.1,8334.8,8493.3,8633.9,8778.7,8913.9,9068.9,9215.3,9360.4,9506.1,9592.7,9691.7,9819.4,9909.2,10034,10162,10294,10407,10480,10631,10761,10912,11058,11142,11245,11377,11469,11597,11764,11892,12037,12155,12227,12382,12510,12689,12827,12984,13152,13346
2017.3,2184.4,2478.4,3202.1,3320.6,3485.5,3621.8,3781.2,3926.6,4057.1,4197.9,4357.2,4514.3,4690.4,4836.5,4997.8,5170.8,5358.2,5536.1,5683.2,5855.7,6043.1,6197.2,6352.4,6492.4,6662,6826.5,6969.9,7131.9,7300.1,7437.6,7541.7,7637.9,7811.9,7954,8133.2,8255.7,8406.6,8555.8,8694.8,8842.3,8992.4,9147.8,9294.6,9439.2,9569.2,9662.6,9760.3,9872.2,10000,10127,10224,10348,10466,10545,10692,10844,10993,11119,11212,11315,11427,11563,11647,11814,11957,12093,12217,12295,12434,12585,12726,12866,13026,13193,13385
