c,c,c,g,c,c,c,c,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,h,b,b,e,e,h,g,b,b,b,b,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,g,g,e,h,g,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,g,g,g,b
133.06,276.47,459.69,1997.6,2159.8,2340.8,2513,2671.8,2802.4,2953.9,3104.6,3282.4,3430.7,3589.8,3760.5,3920,4084.1,4268.5,4429.2,4588.5,4747.7,4894.1,5033,5184.3,5341.4,5488.6,5639.3,5802.4,5944.1,6091.6,6246.5,6411.4,6586.7,6740.8,6880.4,7009.4,7148.5,7297.9,7447.1,7579.2,7725.3,7874,8026,8185.1,8330.6,8476.3,8630.1,8716.7,8817.5,8945.9,9038.6,9163.5,9291.8,9426.1,9542.5,9613.9,9777,9906.2,10054,10203,10360,10446,10551,10678,10770,10897,11026,11161,11280,11353,11563,11698,11831,11971,12114,12258,12398,12533,12685,12827,12965,13095,13248,13402,13487,13592,13726,13817,13944,14076,14210,14329,14402,14616,14767,14930,15077
170.34,316.31,493,2035.3,2197.6,2380.2,2560.5,2709.3,2857.8,3014.6,3175.4,3349.8,3498,3660.9,3829.4,3993.9,4153.8,4315.9,4491.7,4649.2,4808.2,4957.4,5093.9,5247.7,5408,5563,5715,5844.2,5996.8,6161.5,6309.6,6473.8,6609.3,6778.6,6929.3,7077.1,7218.6,7369.7,7516.8,7653.9,7801,7956.8,8100.3,8251.7,8408.9,8555.3,8691.6,8784.8,8887.7,9000,9130.8,9258.2,9352,9480.2,9605.7,9681.3,9841.3,9986.8,10132,10284,10423,10515,10616,10734,10861,10992,11084,11217,11340,11423,11608,11762,11869,12012,12161,12317,12440,12569,12748,12893,13033,13174,13326,13461,13556,13657,13782,13912,14038,14139,14265,14390,14472,14656,14811,14976,15117
