c,c,c,c,c,c,c,b,b,b,c,g,c,b,e,e,e,e,g,b,b,b,b,b,b,b,b,b,e,e,j,j,i,l,l,d,f,f,i,d,k,l
13.438,177.22,2210.2,2373,2528.7,2658.1,2797.8,2962.6,3135,3302.1,3462.8,3631.7,3795.9,3933.8,4109.2,4263,4414.9,4576.2,4745.5,4880.8,5030.7,5194.9,5345.7,5493.8,5644.9,5801,5951.5,6093.7,6254.7,6406.1,6543.4,6691.2,6840.5,6926.2,7030,7159,7253.2,7380,7512,7652.5,7772.7,7843.7
36.906,198.12,2238.2,2403.4,2564,2698,2844.9,3039.7,3205.3,3371.1,3500.5,3671.1,3837.4,3993.6,4166.7,4320.1,4474.4,4632.7,4793.5,4928.7,5100.7,5262.5,5416.2,5560.3,5715.9,5877,6020.9,6167,6316.9,6470.1,6618,6767.8,6898.5,6996.2,7097.4,7214.2,7346.8,7475.5,7571.2,7707.8,7830.4,7910
