g,b,c,c,c,b,b,b,b,e,e,e,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,e,b,e,e,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,e,e,j,h,l
3304.6,3477.2,3603.2,3753.8,3896.2,4061.6,4197.4,4345.8,4486.1,4645.5,4779.6,4920.8,5052.1,5194.7,5337.8,5487,5623.3,5769.4,5920.6,6003.1,6103.5,6230.8,6318.9,6447.9,6579.9,6716.5,6836.9,6900.4,7058.9,7189.3,7339,7490.8,7637.2,7765.4,7894.9,8038.9,8183.2,8316.8,8466.3,8550.2,8649.4,8777.9,8868.6,8989.4,9111.7,9244.1,9358.9,9429,9582.4,9709.6,9857.8,10010,10096,10196,10324,10416,10536,10665,10799,10913,10985,11166,11304,11429,11570,11706,11842,11999,12089
3348.3,3512.7,3642.7,3796.5,3947.2,4125.5,4267.2,4415.2,4551.9,4709.8,4852.4,4993,5127.3,5271.6,5402.6,5548.5,5702.5,5847.9,5978.6,6073.4,6175.2,6282.2,6411,6544.6,6637.6,6772.6,6889.8,6971.3,7120.7,7270,7422.3,7567.8,7705.9,7815.8,7963,8106,8245.1,8397,8525.5,8620.3,8721,8828.7,8963.2,9080.3,9175.9,9301,9421.7,9500.8,9641.3,9792.6,9937.1,10072,10165,10268,10381,10508,10632,10729,10857,10979,11053,11204,11352,11496,11639,11774,11923,12051,12166
