l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
737,1239,1433,1911,2109,2309,2453,2881,3059,3227,3489,3663,3837,3905,3977,4167,4239,4309,4413,4533,4599,4675,4919,5069,5227,5301,5373,5477,5595,5665,5739,5977,6133,6297,6369,6441,6603,6695,6887,7035,7181,7251,7327,7513,7659,7793,7867,7939,8043,8161,8233,8307,8541,8689,8827,8903,8973,9077,9191,9263,9339,9565,9715,9923,10071,10215,10283,10359,10571,10727,10855,10931,11003,11107,11223,11297,11373,11585,11741,11865,11941,12013,12119,12237,12309,12383,12629,12771,12981,13131,13279,13351,13427,13653,13803,13939,14013,14087,14195,14307,14379,14457,14687,14841,14989,15063,15137,15245,15365,15435,15513
767,1335,1545,2021,2197,2383,2533,2949,3145,3303,3561,3743,3885,3961,4039,4223,4297,4379,4487,4581,4661,4737,4991,5155,5287,5367,5451,5557,5645,5723,5801,6055,6221,6355,6431,6517,6641,6775,6967,7121,7231,7307,7397,7657,7727,7855,7929,8015,8123,8213,8289,8379,8679,8751,8889,8967,9049,9159,9249,9323,9405,9637,9791,9999,10157,10267,10341,10423,10721,10793,10915,10995,11077,11187,11279,11359,11439,11732,11799,11929,12009,12091,12201,12293,12375,12459,12695,12849,13059,13221,13335,13413,13493,13799,13875,14001,14079,14163,14273,14363,14439,14523,14833,14905,15055,15129,15219,15327,15417,15495,15577
