l,l,l,l,l,l,l,l,r,l,r,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
415,739,883,1979,2139,2303,2475,2649,3235,3389,3609,3769,3925,4083,4275,4427,4559,4635.5,4712.2,4891,4963,5035,5139,5241,5323.4,5396.8,5639,5793,5953,6027,6101,6205,6313,6389.9,6469.2,6709,6863,7029,7179,7371,7517,7659,7751,7814.5,8047,8195,8321,8393,8467,8577,8683,8758.8,8838.6,9047,9201,9345,9419,9491,9597,9701,9778.9,9857.5,10099,10247,10409,10483,10557,10659,10767,10846,10924,11145,11297,11443,11515,11589,11695,11803,11880,11961,12191,12385,12543,12691,12771,12850,13067,13225,13385,13459,13533,13641,13749,13825,13907
507,767,959,2051,2221,2381,2547,2727,3289,3469,3675,3845,4001,4157,4341,4505,4621,4691.1,4773.5,4945,5019,5101,5209,5305,5380.1,5460.5,5701,5871,6013,6087,6167,6281,6375,6453.7,6533.8,6779,6943,7089,7255,7437,7593,7725,7798.1,7884.2,8177,8261,8375,8451,8537,8651,8749,8824.5,8906.6,9189,9269,9403,9477,9561,9669,9767,9846.9,9923.6,10167,10329,10467,10543,10623,10733,10831,10914,10993,11271,11361,11501,11573,11661,11771,11869,11950,12029,12259,12455,12627,12759,12838,12925,13207,13289,13441,13519,13603,13715,13815,13896,13975
