r,w,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1976.2,2125.9,2412.3,2584.7,2780.9,2930.8,3063.2,3126.6,3203.4,3381.9,3452.7,3522.7,3625.2,3727.2,3799.4,3876,4112.6,4264.6,4418.2,4486.8,4558.1,4751.9,4902.8,5027.7,5099.1,5169,5272.7,5379.1,5449.3,5531.9,5751,5893.5,6084.5,6227.4,6369.6,6449.4,6521.6,6699.2,6849,6981.9,7054.3,7126.1,7230.4,7336.4,7410.1,7487.8,7774.3,7904,8093,8234.4,8390.4,8462.6,8534.7,8641.5,8741.2,8815.3,8893.2,9081,9228.4,9367.5,9439.1,9510.6,9613.3,9718.1,9791.5,9870.8,10099,10235,10421,10562,10701,10776,10854,11043,11192,11325,11398,11469,11578,11679,11754,11832,12096,12253,12414,12487,12559,12662,12768,12842,12922,13157,13354,13496,13631,13706,13785,13986,14139,14258,14333,14404,14509,14618,14691,14772
2006.7,2241.6,2467.9,2650.3,2836.8,2995.2,3111.4,3200.1,3276.3,3430.9,3506.1,3585.1,3692.7,3784.4,3872.1,3951.6,4180.6,4340.8,4468.1,4528.1,4610.5,4883.8,4961.8,5078.9,5151.6,5235,5345.2,5439.3,5527.7,5603.2,5808.7,5962.8,6142.8,6310.3,6431.9,6510.6,6591.5,6828.8,6913.2,7033.4,7108.5,7189.4,7301.5,7396.5,7477.2,7556.5,7822.3,7969.1,8156.4,8315.4,8441.5,8516.5,8598.3,8707.9,8800.3,8883.3,8965.2,9207.6,9293.1,9419.5,9494,9575.1,9685,9780.6,9859.1,9937.2,10159,10303,10491,10640,10761,10849,10923,11173,11256,11378,11452,11538,11646,11740,11821,11897,12165,12332,12469,12542,12626,12734,12826,12910,12990,13216,13419,13574,13692,13775,13854,14128,14203,14312,14387,14474,14582,14677,14760,14840
