l,l,l,l,l,l,r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c
7,319,469,699,1977,2707,3003,3175,3341,3613,3795,3991,4143,4291,4361,4435,4623,4695,4765,4869,4987,5057,5131,5379,5529,5739,5897,6065,6139,6209,6315,6429,6503,6577
51,413,611,773,2051,2813,3069,3255,3413,3683,3861,4067,4231,4341,4419,4495,4681,4757,4841,4947,5037,5111,5197,5447,5607,5817,5979,6129,6203,6291,6395,6485,6561,6639
