l,l,l,l,r,l,l,r,p,a,c,c,r,l,l,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
2129,2335,2521,2689,3395,3543,3709,3929,4087,4231,4303.6,4377.7,4853,5009,5177,5343,5513,5701,5847,5983,6062.6,6138.6,6323,6395,6465,6571,6675,6751,6829.7,7071,7221,7371,7445,7519,7627,7731,7809.2,7887.5,8155,8303,8465,8541,8613,8721,8825,8899.9,8979,9233,9363,9577,9729,9867,9943.9,10023,10215,10393,10499,10575,10647,10757,10865,10946,11022,11297,11453,11645,11787,11921,11999,12078,12263,12419,12545,12621,12697,12803,12909,12985,13066,13313,13519,13667,13805,13885,13963,14147,14301,14431,14507,14581,14691,14799,14875,14955,15207,15363,15509,15583,15659,15765,15875,15953,16033
2255,2439,2601,2763,3453,3629,3781,3995,4161,4285,4356.6,4436.5,4921,5085,5249,5415,5583,5763,5921,6047,6126.8,6206.1,6377,6449,6533,6643,6739,6817.5,6898.1,7203,7289,7425,7501,7585,7701,7797,7875.8,7954.7,8221,8383,8521,8599,8683,8793,8889,8966.5,9045,9297,9439,9645,9803,9929,10004,10089,10345,10429,10555,10633,10719,10831,10925,11009,11090,11355,11527,11711,11867,11985,12066,12147,12407,12485,12603,12679,12769,12877,12975,13053,13134,13377,13581,13745,13871,13952,14032,14277,14369,14489,14565,14651,14761,14863,14941,15025,15345,15425,15565,15643,15729,15841,15941,16023,16104
