l,l,l,l,r,l,l,r,l,l,l,l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l
1453,1743,1911,1999,2073,2119,2247,2377,2583,2745,2897,3073,3229,3443,3643,4071,4273,4433,4603,4765,4973,5123,5271,5339,5413,5577,5653,5725,5829,5951,6021,6097,6329,6483,6649,6723,6795,6903,7021,7091,7167,7391,7543,7677,7747,7825,7927,8049,8119,8195,8571,8717,8863,8935,9009,9199,9351,9479,9553,9625,9729,9851,9919,9995,10191,10343,10475,10549,10619,10729,10845,10919,10993,11141
1485,1771,1957,2049,2117,2167,2329,2487,2673,2831,2999,3161,3325,3585,3771,4211,4357,4507,4679,4841,5049,5207,5315,5395,5479,5639,5711,5795,5905,5997,6077,6161,6401,6571,6709,6783,6869,6981,7067,7149,7229,7523,7607,7733,7811,7899,8011,8097,8175,8269,8647,8803,8913,8991,9075,9335,9423,9539,9615,9699,9809,9901,9981,10081,10329,10415,10535,10611,10695,10805,10897,10977,11065,11247
