l,r,l,l,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
1305,1971,2119,2279,2515,2681,2849,2915,2985,3089,3195,3271.2,3343.8,3577,3725,3883,3955,4025,4127,4231,4305,4383.5,4641,4781,4973,5119,5253,5327.5,5403.7,5605,5749,5877,5949,6021,6127,6231,6305,6381.9,6671,6819,6983,7055,7127,7231,7335,7410.5,7488.9,7837,7983,8147,8221,8293,8403,8505,8579.5,8657.5,8887,9033,9171,9245,9317,9425,9533,9607,9685.7,10015,10163,10323,10393,10465,10573,10679,10755,10835,11073,11219,11359,11435,11507,11615,11721,11799,11877,12201,12349,12515,12587,12661,12769,12875,12953,13032,13265,13419,13559,13629,13705,13811,13913,13991,14069
1367,2007,2197,2345,2575,2743,2895,2969,3051,3149,3253,3323.4,3406,3637,3797,3935,4009,4091,4199,4293,4377.8,4451.1,4701,4851,5037,5195,5313,5395,5474.7,5729,5809,5929,6003,6087,6195,6291,6371.8,6453,6731,6893,7037,7111,7193,7303,7397,7474.5,7557,7895,8055,8199,8277,8361,8467,8567,8647.2,8723,9017,9093,9225,9299,9387,9497,9595,9675.4,9754,10073,10235,10373,10451,10533,10645,10739,10823,10895,11207,11283,11415,11491,11575,11687,11783,11866,11947,12267,12421,12569,12645,12729,12841,12939,13021,13098,13401,13483,13615,13689,13775,13883,13977,14062,14138
