l,r,l,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1917,2647,2791,2981,3137,3329,3497,3739,3901,4055,4128.5,4202.8,4391,4461,4533,4639,4745,4819.6,4897.8,5209,5359,5529,5605,5677,5791,5887,5963.5,6041.6,6319,6469,6627,6703,6775,6881,6991,7066.1,7144.6,7469,7619,7769,7845.9,7924.7,8129,8279,8419,8493,8565,8671,8777,8854,8934.5
2031,2683,2907,3065,3217,3391,3565,3803,3977,4111,4176.8,4266,4441,4517,4601,4713,4807,4887,4966.5,5273,5439,5585,5661,5747,5857,5951,6031.7,6106.8,6385,6545,6683,6761,6845,6957,7051,7126,7205.5,7531,7703,7833,7914.9,7997.1,8261,8345,8475,8551,8631,8743,8841,8921.7,9002.7
