y,l,l,l,l,l,l,l,l,l,l,l,r,l,w,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c
7,235,291,335,917,1671,2955,3095,3219,3491,3671,3837,4029,4301,4545,4709,4905,5077,5229,5417,5569,5709,5781,5855,6035,6107,6179,6287,6405,6475,6549,6771,6923,7079,7147,7223,7445,7591,7745,7819,7891,7995,8109,8185,8259,8569,8725,8905,8975,9053,9255,9403,9545,9619,9691,9799,9913,9987,10061,10293,10425,10623,10779,10919,10997,11073,11259,11405,11533,11607,11677,11785,11903,11969,12047,12193,12223,12435,12561,12637,12709,12813,12933,13003,13079,13327,13467,13661,13813,13963,14035,14111,14307,14459,14595,14669,14743,14847,14967,15035,15113,15393,15539,15699,15773,15847,16055,16203,16343,16415,16489,16591,16709,16781,16857
123,261,327,405,945,1731,2991,3133,3319,3603,3755,3913,4093,4441,4627,4781,4973,5147,5299,5485,5647,5759,5837,5917,6093,6167,6251,6361,6457,6533,6613,6845,7009,7131,7203,7285,7575,7657,7803,7879,7967,8071,8165,8241,8321,8639,8807,8961,9037,9117,9389,9465,9605,9681,9765,9877,9969,10045,10125,10355,10497,10699,10865,10979,11053,11135,11403,11471,11593,11671,11749,11861,11955,12029,12109,12221,12427,12503,12625,12699,12783,12889,12985,13059,13145,13385,13539,13741,13895,14017,14093,14175,14447,14525,14655,14733,14817,14929,15017,15099,15179,15471,15627,15757,15831,15913,16197,16273,16403,16477,16561,16671,16761,16839,16921
