r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1853,1998.9,2348.3,2505.5,2717.8,2940.1,3106.1,3243.2,3312.2,3392.6,3561.6,3632.7,3701.8,3801.5,3904.7,3982.7,4055.8,4289.4,4434.8,4596.6,4668.9,4740,4841.9,4947.8,5017.9,5097.8,5349.8,5468.8,5651.8,5801.8,5937.9,6011.1,6090.3,6277.9,6425.2,6550,6623.2,6693.8,6798,6903.9,6976.6,7055.4,7279,7422.7,7618.8,7766.8,7897.3,7973.4,8052.4,8229.1,8382.1,8510.7,8584.2,8657.1,8759.6,8864.5,8938.7,9017.3,9288.2,9489.5,9637.1,9776,9852.3,9929.9,10115,10269,10408,10484,10554,10657,10763,10837,10916,11175,11325,11524,11670,11809,11882,11963,12239,12384,12515,12588,12662,12765,12872,12946,13026
1894.3,2098.9,2402.6,2627.6,2789.6,3008.3,3173.3,3302.8,3386.5,3461,3613.3,3686.7,3768.6,3872.4,3964.6,4026.1,4105.1,4355.7,4515.5,4649.9,4725,4807,4914.7,5006.4,5094.7,5172.6,5394.2,5535.8,5717.8,5884.2,5997,6075,6159.4,6406.4,6489.9,6604.4,6677.8,6761.6,6870.7,6963.9,7047,7118.9,7337.7,7492.3,7688.2,7845,7962.3,8044.9,8123.1,8362.4,8443,8564.2,8639.1,8724.8,8833.6,8924.7,9010,9088.1,9344.9,9557.4,9715.4,9839,9921.9,10000,10251,10334,10462,10537,10622,10728,10824,10909,10982,11233,11394,11593,11749,11872,11955,12032,12361,12443,12568,12645,12728,12838,12932,13020,13098
