l,l,l,l,l,l,l,r,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,w,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,d,d,d,p,a,c,c
1786.4,1973.2,2183.3,2342.9,2514.9,2713,2896.1,3120,3288.9,3440.8,3748,3930.1,4084.5,4278.4,4425.6,4558.8,4639.1,4713.7,4892.8,4968.3,5039.8,5144,5254.2,5329.4,5408.4,5646.7,5798.8,5969.8,6043.3,6116.3,6221.9,6343.4,6413.6,6489.3,6728.7,6878.6,7025.5,7101.3,7181.6,7369.8,7521.8,7656.2,7730.7,7803.4,7907.6,8017.4,8091.8,8173,8404.5,8544.9,8751.2,8902,9042.1,9118.3,9198.5,9411.4,9564.2,9704.2,9778.2,9851.4,9957.9,10069,10145,10226,10482,10630,10765,10841,10917,11022,11130,11207,11287,11508,11813,11890,11963,12067,12179,12258,12346
1841,2104.2,2277.4,2418.1,2600.9,2793,2974.9,3193.1,3370.5,3523.4,3823.4,4006.6,4165.3,4354.6,4505.4,4624.7,4683.2,4763.6,4954.1,5025.9,5112.7,5216.9,5319.8,5401.2,5478.6,5724.4,5886,6026.2,6104,6196.9,6302,6379.2,6458.1,6538.2,6803,6960.2,7096.2,7176.8,7257.9,7508,7589.8,7718.8,7795.2,7879,7985.3,8087.4,8168.4,8243.2,8477.6,8622.4,8831.6,8989.7,9111.4,9193.5,9277,9554.8,9636.3,9760.6,9838.3,9924.2,10039,10139,10219,10304,10622,10702,10824,10904,10991,11099,11200,11283,11370,11741,11872,11955,12037,12148,12240,12336,12421
