l,l,l,l,l,l,r,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
1497,1841,1981,2213,2385,2551,2717,2867,3071,3231,3401,3593,3751,3897,3969,4045,4219,4291,4363,4463,4583,4653,4729,4955,5099,5261,5331,5403,5597,5745,5871,5945,6013,6117,6233,6305,6379,6607,6745,6931,7075,7223,7293,7367,7573,7721,7845,7919,7989,8097,8209,8279,8355,8573,8749,8895,9039,9109,9185,9359,9515,9637,9711,9779,9885,10003,10073,10149,10381,10529,10677,10751,10825,11073,11221,11387,11459,11533,11721,11867,11995,12071,12143,12249,12367,12437,12513,12723,12907,13059,13203,13285,13361,13569,13721,13851,13925,13999,14103,14223,14293,14369,14693,14843,14995,15067,15143,15345,15499,15627,15701,15775,15881,16001,16069,16147,16447,16663,16821,16971,17043,17119,17341,17495,17637,17711,17785,17891,18009,18081,18157
1527,1893,2127,2303,2487,2627,2779,2941,3141,3309,3481,3667,3839,3945,4019,4105,4277,4353,4433,4543,4631,4711,4789,5027,5185,5309,5385,5487,5735,5815,5931,6007,6087,6189,6287,6359,6451,6671,6821,7009,7165,7271,7345,7441,7709,7785,7905,7981,8065,8169,8259,8337,8415,8641,8829,8975,9093,9165,9243,9507,9579,9699,9773,9853,9967,10059,10131,10209,10449,10615,10731,10807,10895,11147,11311,11441,11517,11607,11857,11939,12059,12133,12215,12327,12417,12497,12575,12793,12987,13147,13267,13343,13439,13703,13787,13911,13989,14073,14183,14271,14353,14437,14769,14933,15047,15125,15209,15487,15563,15689,15765,15847,15963,16047,16129,16231,16509,16737,16909,17023,17105,17183,17491,17569,17699,17777,17861,17971,18061,18139,18229
