l,l,l,l,l,l,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
2034,2197.9,2372.3,2546.1,2724,2893.2,3759.8,3927.4,4088.7,4313.2,4471.2,4609.8,4689,4763.2,4936.2,5011.5,5083.8,5192.2,5292.9,5373.2,5446.7,5700.2,5850.4,6031.2,6094.2,6166.4,6272.9,6376.4,6448.9,6531.2,6986.7,7133.7,7290.4,7361.2,7443.5,7616.4,7688.3,7761.2,7871.5,7975.1,8055.1,8131.2,8368.6,8514.5,8652.1,8726.7,8798.3,8905.9,9010.1,9083.2,9165.2,9442.1,9598.4,9770.9,9843.2,9917.8,10026,10132,10208,10287,10518,10667,10811,10885,10958,11062,11172,11248,11330,11550,11704,11853,11929,12004,12112,12221,12294,12377,12653,12801,13001,13158,13307,13387,13467,13674,13825,13959,14034,14107,14214,14324,14401,14482
2111.8,2274.8,2447.8,2618.9,2801.7,2960.2,3819.5,3991.9,4157.6,4371.1,4548.2,4669.7,4732.7,4814.5,4985.8,5064.1,5151.1,5253,5353.2,5433.3,5507.9,5758.2,5920.1,6072,6148.7,6232.6,6338.8,6436.8,6527.9,6605.7,7041.7,7203,7349.4,7440.3,7518.3,7669.1,7743.2,7826.9,7939.5,8036.7,8127.8,8208.1,8498.4,8575.7,8704.2,8780.7,8864,8974.4,9073.1,9161.8,9245.5,9509.9,9679.5,9823.2,9899.2,9985.2,10098,10195,10278,10355,10649,10734,10865,10941,11026,11136,11234,11322,11399,11680,11766,11908,11986,12072,12184,12286,12373,12453,12705,12864,13069,13237,13373,13452,13537,13809,13890,14013,14092,14176,14288,14387,14474,14552
