l,w,l,r,l,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
729,1119,1365,1597,1767,1955,2139,2307,2519,2669,2811,2889,2963,3151,3223,3292.8,3393,3517,3583,3657,3897,4047,4207,4281,4353,4447,4575,4641,4717,4945,5095,5245,5310.8,5387,5573,5719,5851,5925,5995,6099,6217,6285,6359,6611,6753,6917,7065,7211,7277,7353,7549,7697.8,7831,7907,7969,8081,8195,8265,8341,8591,8745,8903,8975,9049,9239,9384.2,9525,9599,9667,9769,9891,9959,10039,10329,10511,10665,10811,10879,10955,11161,11315,11451,11529,11599,11703,11825,11895,11969
803,1289,1467,1669,1903,2053,2215,2401,2611,2759,2869,2951,3035,3215,3280.9,3379,3483,3565,3649,3723,3971,4137,4273,4349,4433,4543,4623,4703,4787,5027,5195,5298.9,5379,5459,5717,5809,5915,5991,6075,6183,6271,6351,6429,6683,6849,6989,7145,7261,7347,7425,7682.9,7789,7895,7960.1,8063,8165,8253,8333,8415,8693,8825,8963,9043,9121,9378.2,9475,9589,9663,9751,9859,9945,10027,10107,10391,10595,10741,10865,10947,11025,11305,11399,11519,11595,11685,11793,11879,11961,12043
