l,l,l,l,r,l,l,w,r,l,w,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
169,581,755,981,1235,1407,1559,1741,1959,2139,2285,2465,2617,2763,2833,2909,3093,3167,3241,3347,3463,3531,3609,3833,3985,4149,4225,4299,4407,4527,4595,4671,4905,5055,5205,5275,5353,5557,5707,5841,5917,5985,6091,6209,6281,6357,6583,6715,6903,7051,7207,7277,7355,7569,7723,7855,7931,8003,8109,8227,8295,8373,8565,8709.5,8849,8925,8995,9101,9219,9289,9365,9605,9737,9941,10085,10237,10307,10383,10567,10723,10857,10933,11005,11109,11233,11303,11379
241,705,907,1069,1303,1483,1641,1823,2033,2217,2365,2547,2705,2817,2891,2975,3155,3233,3315,3423,3517,3595,3677,3907,4075,4213,4291,4371,4483,4579,4657,4739,4983,5149,5263,5341,5423,5703,5777,5905,5981,6067,6175,6265,6343,6427,6657,6797,6983,7145,7261,7343,7437,7717,7789,7917,7997,8083,8195,8277,8357,8443,8697,8791,8913,8989,9077,9185,9275,9355,9433,9671,9819,10023,10179,10293,10365,10451,10719,10793,10919,11001,11085,11191,11295,11369,11465
