l,r,l,l,r,l,l,r,p,a,l,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,r,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c
4079,4297,4455,4601,5175,5331,5487,5689,5843,5979.6,6135,6299,6475,6625,6769,6841,6915,7089,7163,7233,7337,7455,7525,7601,7813,7961,8085,8159,8233,8331,8447,8525,8599,8817,8967,9099,9173,9245,9349,9469,9539,9615,9847,9981,10153,10305,10455,10523,10599,10781,10931,11057,11129,11201,11309,11427,11497,11573,11779,11931,12063,12139,12211,12315,12435,12503,12579,12793,12973,13123,13269,13339,13415,13749,13901,14061,14129,14207,14427,14588,14719,14795,14865,14973,15087,15163,15241,15613,15761,16049,16213,16413,16565,16713,16783,16859,17057,17207,17345,17417,17489,17595,17709,17783,17861,18159,18321,18577,18777,18933,19087,19155,19235,19467,19625,19759,19835,19907,20011,20127,20201,20279
4185,4363,4573,4679,5245,5409,5567,5767,5931,6028.9,6217,6377,6555,6721,6825,6905,6981,7151,7225,7313,7419,7507,7587,7669,7949,8035,8147,8225,8307,8421,8509,8585,8681,8959,9033,9165,9239,9329,9437,9527,9603,9685,9915,10053,10231,10399,10507,10589,10667,10927,11005,11121,11197,11287,11393,11477,11559,11653,11929,12001,12127,12203,12289,12399,12483,12565,12643,12865,13051,13215,13321,13403,13489,13825,13993,14111,14193,14279,14568,14649,14783,14859,14947,15059,15155,15225,15305,15691,15851,16123,16291,16495,16659,16765,16847,16931,17205,17279,17407,17483,17567,17679,17769,17849,17931,18231,18405,18657,18855,19023,19139,19223,19305,19613,19697,19819,19901,19985,20095,20187,20269,20345
