l,l,l,l,l,l,l,l,y,l,r,l,r,p,a,c,c,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c
177,529,1041,1227,1437,1599,1767,1935,2087,2227,2399,2573,2793,2961,3119,3189,3263,3445,3519,3589,3703,3811,3879,3957,4165,4319,4467,4541,4611,4717,4837,4907,4983
219,565,1087,1373,1535,1707,1863,2033,2175,2325,2475,2655,2871,3049,3169,3249,3331,3505,3587,3667,3781,3867,3945,4023,4305,4391,4529,4607,4697,4799,4889,4969,5049
