l,l,l,l,l,l,r,l,l,r,r,l,l,r,p,a,c,c,d,d,d,p,a,c,c,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,r,p,a,c,c,x,y,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,d,d,d,p,a,c,c,x,y,d,d,d,p,a,c,c,l,l,r,p,a,c,c,x,y,d,d,d,p,a,c,c,l
931,1299,1791,1985,2177,2337,2821,2979,3133,3365,4231,4389,4549,4759,4917,5075,5139,5213,5391,5463,5533,5639,5751,5817,5893,6119,6269,6435,6509,6579,6683,6797,6865,6939,7137,7283,7407,7479,7551,7653,7769,7837,7913,8147,8301,8443,8523,8597,8813,8959,9097,9171,9241,9345,9463,9531,9605,9959,10107,10257,10327,10403,10597,10747,10881,10953,11023,11127,11243,11313,11389,11603,11755,11893,11967,12035,12141,12255,12327,12401,12659,12803,13009,13161,13317,13389,13465,13669,13816,13961,14037,14109,14213,14331,14401,14477,14749,14905,15099,15249,15399,15469,15547,15807,15955,16087,16163,16233,16339,16455,16529,16603,16879,17029,17241,17397,17565,17637,17711,17815,17933,17999,18077,18313,18461,18611,18689,18761,18867,18989,19061,19135,19419,19569,19935,20097,20239,20325,20399,20613,20765,20895,20969,21041,21147,21273,21343,21419,22141
957,1393,1911,2083,2269,2427,2877,3049,3205,3439,4297,4463,4625,4831,4993,5109,5199,5275,5449,5525,5607,5711,5803,5879,5955,6193,6351,6493,6569,6651,6761,6847,6925,7003,7269,7347,7467,7543,7625,7731,7823,7897,7981,8221,8393,8505,8581,8677,8953,9025,9159,9235,9319,9425,9521,9591,9681,10029,10197,10311,10387,10467,10743,10811,10941,11017,11095,11205,11295,11375,11453,11741,11817,11955,12029,12111,12223,12309,12385,12465,12725,12875,13079,13247,13379,13449,13531,13796,13885,14023,14103,14187,14293,14385,14461,14543,14819,14973,15173,15337,15453,15535,15611,15945,16025,16149,16227,16309,16417,16513,16589,16667,16939,17107,17315,17485,17625,17703,17783,17895,17981,18061,18159,18449,18525,18677,18755,18839,18949,19041,19121,19219,19483,19647,20011,20183,20305,20383,20467,20763,20833,20957,21033,21117,21229,21325,21407,21505,22223
