l,l,l,r,l,l,r,l,r,r,a,c,c,d,d,d,r,a,c,c,r,r,a,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,d,d,d,r,a,c,c,x,y,d,d,d,r,a,c,c,r,r,d,d,d,r,a,c,c,x,y,d,d,d,r,a,c,c,l,l,r,r,a,c,c,x,y,d,d,d,r,a,c,c
1970.5,2132.2,2316.3,2562.5,2730,2931.2,3137.3,3307.4,3521.1,3675.1,3799.8,3871.7,3952.9,4130,4204,4275.7,4384.6,4488,4566.6,4640.7,4970.2,5119.6,5273.2,5393.4,5579.9,5732.1,5866.3,5942.4,6018.8,6218.1,6370.8,6498.5,6572.5,6643.7,6749.6,6855.8,6930.5,7009.1,7227.3,7354.1,7546.3,7698,7830.3,7906.4,7982.8,8166.7,8318.7,8442.2,8515.2,8587.3,8692.1,8800.1,8873.2,8952.2,9171.1,9304.2,9500.5,9650.8,9812.2,9883.8,9954.7,10060,10166,10241,10320,10534,10685,10811,10886,10960,11067,11170,11245,11324,11610,11755,11918,11993,12066,12176,12281,12358,12435,12677,12828,12965,13038,13110,13218,13322,13397,13477,13744,13882,14082,14225,14365,14438,14521,14712,14868,14998,15074,15148,15252,15360,15437,15516
2040.5,2233.2,2392.2,2610.2,2849.6,3008.4,3194.4,3380.9,3581,3749.8,3858,3944.5,4023,4182.1,4257.8,4339.9,4448.4,4548.5,4609.6,4688.4,5026.8,5186.5,5330,5462.3,5645.8,5808,5925.9,6007.3,6083.7,6349.2,6431.4,6551.4,6626,6708.3,6818.1,6915.2,6995.3,7074.7,7287.4,7425.5,7612.9,7774.2,7888.8,7972.2,8051.2,8294.6,8383.2,8493.9,8569.2,8651.8,8760.6,8859.1,8940.3,9017.5,9225.6,9373,9571.9,9730.3,9861.9,9936.7,10020,10132,10226,10307,10387,10662,10749,10861,10940,11023,11136,11232,11315,11394,11677,11831,11968,12047,12133,12245,12342,12423,12503,12809,12895,13017,13092,13177,13288,13383,13463,13545,13798,13946,14142,14301,14427,14517,14593,14848,14930,15053,15130,15214,15326,15422,15505,15582
